# FES reconstruction from WT-MetaD HILLS (Python, 96k Gaussians)
# CV (Ang)  FES (kJ/mol)
-3.000000  20.880337
-2.982966  21.879231
-2.965932  29.229223
-2.948898  28.472760
-2.931864  40.735576
-2.914830  25.919843
-2.897796  43.779084
-2.880762  37.856809
-2.863727  51.039189
-2.846693  63.915435
-2.829659  57.385894
-2.812625  63.729841
-2.795591  99.038413
-2.778557  88.088841
-2.761523  106.204814
-2.744489  121.515221
-2.727455  119.117895
-2.710421  129.695826
-2.693387  124.300388
-2.676353  127.144153
-2.659319  139.569670
-2.642285  135.606648
-2.625251  129.672436
-2.608216  138.653726
-2.591182  140.048250
-2.574148  129.086296
-2.557114  154.603002
-2.540080  138.660219
-2.523046  147.944186
-2.506012  127.709873
-2.488978  152.610277
-2.471944  156.708320
-2.454910  139.823882
-2.437876  156.115934
-2.420842  144.294238
-2.403808  154.646414
-2.386774  155.759287
-2.369739  147.748738
-2.352705  144.949145
-2.335671  157.177600
-2.318637  149.046921
-2.301603  155.991804
-2.284569  155.836992
-2.267535  167.177186
-2.250501  156.178722
-2.233467  153.134294
-2.216433  169.727490
-2.199399  172.218313
-2.182365  165.752828
-2.165331  173.195279
-2.148297  172.574522
-2.131263  163.332330
-2.114228  160.868059
-2.097194  169.039350
-2.080160  160.559704
-2.063126  168.521354
-2.046092  156.200353
-2.029058  160.105198
-2.012024  170.907080
-1.994990  176.240991
-1.977956  172.166940
-1.960922  173.721399
-1.943888  185.449084
-1.926854  157.814823
-1.909820  178.480851
-1.892786  186.056903
-1.875752  183.829335
-1.858717  171.064166
-1.841683  188.366578
-1.824649  181.725179
-1.807615  159.037367
-1.790581  176.607507
-1.773547  170.193501
-1.756513  177.935415
-1.739479  168.414188
-1.722445  180.228818
-1.705411  169.934592
-1.688377  169.448140
-1.671343  174.539105
-1.654309  172.232277
-1.637275  176.692474
-1.620240  179.442811
-1.603206  174.556673
-1.586172  194.957591
-1.569138  185.497669
-1.552104  184.066828
-1.535070  171.508916
-1.518036  170.600880
-1.501002  177.927998
-1.483968  173.287199
-1.466934  169.516995
-1.449900  158.156090
-1.432866  171.779420
-1.415832  173.143732
-1.398798  164.067322
-1.381764  164.080872
-1.364729  165.468837
-1.347695  165.073291
-1.330661  152.933926
-1.313627  163.797375
-1.296593  169.311076
-1.279559  165.068307
-1.262525  173.964029
-1.245491  167.091552
-1.228457  159.296253
-1.211423  181.306387
-1.194389  162.137012
-1.177355  174.758345
-1.160321  171.163526
-1.143287  172.379246
-1.126253  165.308996
-1.109218  172.286726
-1.092184  178.402489
-1.075150  163.735514
-1.058116  180.762188
-1.041082  160.561777
-1.024048  158.206665
-1.007014  169.538843
-0.989980  166.547497
-0.972946  163.697125
-0.955912  168.615840
-0.938878  179.887221
-0.921844  155.075395
-0.904810  157.550037
-0.887776  170.706173
-0.870741  165.875164
-0.853707  181.097883
-0.836673  169.337924
-0.819639  170.106611
-0.802605  181.777696
-0.785571  172.107159
-0.768537  168.949990
-0.751503  161.547110
-0.734469  167.175141
-0.717435  182.270612
-0.700401  174.781840
-0.683367  172.890543
-0.666333  168.845851
-0.649299  170.525880
-0.632265  164.758456
-0.615230  177.422276
-0.598196  212.793234
-0.581162  227.600404
-0.564128  247.370641
-0.547094  247.767670
-0.530060  256.258974
-0.513026  255.556205
-0.495992  256.924272
-0.478958  251.484417
-0.461924  243.244609
-0.444890  261.566672
-0.427856  265.927356
-0.410822  247.155657
-0.393788  258.562735
-0.376754  261.191113
-0.359719  263.070658
-0.342685  252.552299
-0.325651  274.490965
-0.308617  257.879758
-0.291583  266.789427
-0.274549  256.273901
-0.257515  257.798909
-0.240481  266.335292
-0.223447  256.196910
-0.206413  253.059575
-0.189379  259.086650
-0.172345  273.631509
-0.155311  297.448071
-0.138277  293.857263
-0.121242  299.278575
-0.104208  314.948650
-0.087174  312.679687
-0.070140  319.220573
-0.053106  317.605693
-0.036072  321.270657
-0.019038  322.460685
-0.002004  327.510119
0.015030  327.028988
0.032064  328.554987
0.049098  332.343447
0.066132  329.857689
0.083166  331.712279
0.100200  324.554863
0.117234  339.266609
0.134269  323.085940
0.151303  312.809444
0.168337  325.177144
0.185371  322.786498
0.202405  324.924708
0.219439  321.324511
0.236473  336.170995
0.253507  341.323255
0.270541  333.641762
0.287575  338.780851
0.304609  332.766117
0.321643  334.357473
0.338677  330.857828
0.355711  330.676802
0.372745  326.686002
0.389780  326.368540
0.406814  324.928071
0.423848  323.582969
0.440882  326.048193
0.457916  329.035276
0.474950  330.094961
0.491984  336.502362
0.509018  322.804680
0.526052  334.530995
0.543086  329.806070
0.560120  319.471616
0.577154  323.967104
0.594188  314.866361
0.611222  310.500652
0.628257  323.898876
0.645291  327.469825
0.662325  322.840347
0.679359  318.981451
0.696393  325.872385
0.713427  329.431582
0.730461  321.448320
0.747495  323.046696
0.764529  334.429252
0.781563  333.223611
0.798597  327.004028
0.815631  329.019563
0.832665  319.613548
0.849699  319.827960
0.866733  334.953336
0.883768  324.185965
0.900802  320.433594
0.917836  327.400359
0.934870  328.754660
0.951904  320.587763
0.968938  325.773593
0.985972  324.070129
1.003006  323.241384
1.020040  331.176231
1.037074  329.202664
1.054108  317.083771
1.071142  331.681939
1.088176  335.446483
1.105210  329.285155
1.122244  330.213909
1.139279  336.392691
1.156313  330.492287
1.173347  330.918847
1.190381  325.996056
1.207415  322.757478
1.224449  330.504669
1.241483  333.402291
1.258517  336.125016
1.275551  333.463939
1.292585  329.864117
1.309619  324.999598
1.326653  329.162394
1.343687  332.230445
1.360721  329.689935
1.377756  335.905098
1.394790  337.564059
1.411824  332.992027
1.428858  334.764383
1.445892  335.911749
1.462926  338.445909
1.479960  345.684132
1.496994  346.302213
1.514028  346.482363
1.531062  338.746635
1.548096  324.550080
1.565130  327.024255
1.582164  332.923328
1.599198  328.763097
1.616232  333.327631
1.633267  335.439890
1.650301  337.266191
