# WT-MetaD FES (physical hills only, |CV|<0.30 nm)
# CV (nm)  F (kJ/mol)
-0.300000  128.922899
-0.296985  91.093536
-0.293970  62.189532
-0.290955  49.843631
-0.287940  48.880978
-0.284925  47.872820
-0.281910  41.657476
-0.278894  35.220989
-0.275879  34.795136
-0.272864  38.950857
-0.269849  41.363373
-0.266834  39.201171
-0.263819  34.908317
-0.260804  31.289609
-0.257789  28.024113
-0.254774  23.826968
-0.251759  20.484399
-0.248744  21.169932
-0.245729  24.962942
-0.242714  27.662846
-0.239698  26.932655
-0.236683  23.138741
-0.233668  18.850074
-0.230653  18.447449
-0.227638  22.695493
-0.224623  25.403203
-0.221608  21.429201
-0.218593  14.418507
-0.215578  10.777125
-0.212563  11.222092
-0.209548  13.920089
-0.206533  20.688660
-0.203518  33.603371
-0.200503  46.676316
-0.197487  48.405659
-0.194472  35.865864
-0.191457  19.252864
-0.188442  9.769976
-0.185427  9.284833
-0.182412  12.860018
-0.179397  16.804216
-0.176382  20.706287
-0.173367  22.432446
-0.170352  18.348375
-0.167337  10.399501
-0.164322  5.691708
-0.161307  7.336365
-0.158291  11.172072
-0.155276  12.181380
-0.152261  10.123497
-0.149246  8.666191
-0.146231  10.686692
-0.143216  14.322690
-0.140201  15.416951
-0.137186  14.016692
-0.134171  13.496388
-0.131156  14.038948
-0.128141  13.189900
-0.125126  10.425527
-0.122111  7.122861
-0.119095  5.304589
-0.116080  6.161653
-0.113065  7.665096
-0.110050  7.096391
-0.107035  6.019237
-0.104020  8.987078
-0.101005  17.318105
-0.097990  26.245482
-0.094975  29.317554
-0.091960  24.929741
-0.088945  17.269059
-0.085930  11.501418
-0.082915  10.689635
-0.079899  16.133851
-0.076884  25.919954
-0.073869  34.288980
-0.070854  36.313950
-0.067839  31.749936
-0.064824  23.976378
-0.061809  17.564423
-0.058794  15.292531
-0.055779  16.559228
-0.052764  19.269757
-0.049749  21.693991
-0.046734  23.294224
-0.043719  25.063199
-0.040704  28.329540
-0.037688  32.620038
-0.034673  34.203830
-0.031658  30.270118
-0.028643  25.422160
-0.025628  26.939274
-0.022613  34.199200
-0.019598  40.094442
-0.016583  40.570221
-0.013568  37.223703
-0.010553  32.815640
-0.007538  28.866886
-0.004523  27.496355
-0.001508  31.552958
0.001508  40.305676
0.004523  47.275928
0.007538  45.573501
0.010553  35.798206
0.013568  27.867580
0.016583  32.096574
0.019598  47.275543
0.022613  60.880873
0.025628  61.588862
0.028643  49.113313
0.031658  32.033311
0.034673  19.048441
0.037688  13.736010
0.040704  14.680569
0.043719  17.074303
0.046734  16.364263
0.049749  13.864368
0.052764  15.461438
0.055779  22.542533
0.058794  29.032641
0.061809  28.622370
0.064824  21.795050
0.067839  15.677301
0.070854  16.474562
0.073869  22.787599
0.076884  29.010739
0.079899  31.542176
0.082915  29.655154
0.085930  25.392695
0.088945  22.485520
0.091960  21.654705
0.094975  19.032711
0.097990  12.147787
0.101005  4.239076
0.104020  0.000000
0.107035  0.751355
0.110050  4.758743
0.113065  8.202370
0.116080  7.902462
0.119095  7.003933
0.122111  12.201093
0.125126  22.421656
0.128141  28.270185
0.131156  24.691228
0.134171  16.293994
0.137186  8.868348
0.140201  3.839219
0.143216  2.775118
0.146231  8.839386
0.149246  20.570419
0.152261  30.543006
0.155276  32.564121
0.158291  26.586383
0.161307  17.307602
0.164322  9.903892
0.167337  6.704060
0.170352  7.989210
0.173367  12.414730
0.176382  16.257202
0.179397  18.609795
0.182412  23.945674
0.185427  33.149625
0.188442  39.146202
0.191457  35.511246
0.194472  23.921280
0.197487  12.447107
0.200503  7.589507
0.203518  8.250778
0.206533  10.174663
0.209548  13.436404
0.212563  20.276582
0.215578  28.082981
0.218593  30.113834
0.221608  24.535197
0.224623  19.004769
0.227638  21.939584
0.230653  31.051406
0.233668  35.641774
0.236683  29.813035
0.239698  18.927937
0.242714  12.126194
0.245729  12.264807
0.248744  16.710644
0.251759  24.344750
0.254774  35.471721
0.257789  46.448540
0.260804  50.124230
0.263819  44.190136
0.266834  36.018704
0.269849  33.764980
0.272864  36.244310
0.275879  37.880895
0.278894  37.885780
0.281910  39.198088
0.284925  43.185115
0.287940  48.592749
0.290955  54.537175
0.293970  64.009089
0.296985  83.122890
0.300000  113.861164
