# step t_ps cv bias_e
0 0.0000 -1.462384 0.000000
10 0.0050 -1.463114 0.238981
20 0.0100 -1.463971 0.238886
30 0.0150 -1.464701 0.238750
40 0.0200 -1.465520 0.238536
50 0.0250 -1.466293 0.238277
60 0.0300 -1.466797 0.238077
70 0.0350 -1.467327 0.237841
80 0.0400 -1.467989 0.237509
90 0.0450 -1.468878 0.236998
100 0.0500 -1.469813 0.236383
110 0.0550 -1.470866 0.459264
120 0.0600 -1.471923 0.458218
130 0.0650 -1.473091 0.456830
140 0.0700 -1.474220 0.455257
150 0.0750 -1.475387 0.453395
160 0.0800 -1.476532 0.451339
170 0.0850 -1.477768 0.448866
180 0.0900 -1.478958 0.446241
190 0.0950 -1.480200 0.443252
200 0.1000 -1.481419 0.440075
210 0.1050 -1.482813 0.647409
220 0.1100 -1.484484 0.642001
230 0.1150 -1.486277 0.635477
240 0.1200 -1.488236 0.627525
250 0.1250 -1.490245 0.618508
260 0.1300 -1.492207 0.608907
270 0.1350 -1.494255 0.598082
280 0.1400 -1.496418 0.585815
290 0.1450 -1.498433 0.573666
300 0.1500 -1.500336 0.561612
310 0.1550 -1.502136 0.753877
320 0.1600 -1.503876 0.741603
330 0.1650 -1.505373 0.730549
340 0.1700 -1.507166 0.716763
350 0.1750 -1.508897 0.702902
360 0.1800 -1.510578 0.688986
370 0.1850 -1.512189 0.675249
380 0.1900 -1.513770 0.661419
390 0.1950 -1.515236 0.648319
400 0.2000 -1.516572 0.636174
410 0.2050 -1.517710 0.825702
420 0.2100 -1.518805 0.815343
430 0.2150 -1.519689 0.806846
440 0.2200 -1.520337 0.800537
450 0.2250 -1.520940 0.794608
460 0.2300 -1.521297 0.791075
470 0.2350 -1.521607 0.787996
480 0.2400 -1.522071 0.783354
490 0.2450 -1.522357 0.780485
500 0.2500 -1.522599 0.778045
510 0.2550 -1.522817 0.968123
520 0.2600 -1.523279 0.963411
530 0.2650 -1.523624 0.959867
540 0.2700 -1.523792 0.958137
550 0.2750 -1.523759 0.958473
560 0.2800 -1.523723 0.958852
570 0.2850 -1.523636 0.959741
580 0.2900 -1.523603 0.960081
590 0.2950 -1.523516 0.960977
600 0.3000 -1.523301 0.963190
610 0.3050 -1.522991 1.148929
620 0.3100 -1.522747 1.151403
630 0.3150 -1.522342 1.155463
640 0.3200 -1.522055 1.158317
650 0.3250 -1.521883 1.160016
660 0.3300 -1.521779 1.161037
670 0.3350 -1.521633 1.162472
680 0.3400 -1.521280 1.165900
690 0.3450 -1.521000 1.168596
700 0.3500 -1.520810 1.170418
710 0.3550 -1.520866 1.342187
720 0.3600 -1.521058 1.340347
730 0.3650 -1.521286 1.338141
740 0.3700 -1.521607 1.335012
750 0.3750 -1.521924 1.331880
760 0.3800 -1.522098 1.330141
770 0.3850 -1.521960 1.331516
780 0.3900 -1.521520 1.335864
790 0.3950 -1.520777 1.343031
800 0.4000 -1.519563 1.354323
810 0.4050 -1.518042 1.531283
820 0.4100 -1.516286 1.545333
830 0.4150 -1.514359 1.559101
840 0.4200 -1.512442 1.571058
850 0.4250 -1.510400 1.581836
860 0.4300 -1.508246 1.590985
870 0.4350 -1.506073 1.597869
880 0.4400 -1.504016 1.602195
890 0.4450 -1.501965 1.604374
900 0.4500 -1.500076 1.604494
910 0.4550 -1.498379 1.755590
