# step cv h sig
0 -1.483269 0.239006 0.0500
100 -1.465725 0.224452 0.0500
200 -1.458670 0.211698 0.0500
300 -1.483947 0.200112 0.0500
400 -1.507011 0.197312 0.0500
500 -1.500739 0.184081 0.0500
600 -1.486519 0.171669 0.0500
700 -1.482787 0.163481 0.0500
800 -1.487596 0.156443 0.0500
900 -1.476144 0.150195 0.0500
1000 -1.450621 0.156742 0.0500
1100 -1.441651 0.157551 0.0500
1200 -1.470474 0.134569 0.0500
1300 -1.487017 0.130208 0.0500
1400 -1.473303 0.124711 0.0500
1500 -1.449685 0.131473 0.0500
1600 -1.439017 0.136188 0.0500
1700 -1.437657 0.132442 0.0500
1800 -1.423715 0.143061 0.0500
1900 -1.413191 0.150681 0.0500
2000 -1.426585 0.128786 0.0500
2100 -1.453411 0.105010 0.0500
2200 -1.476794 0.100647 0.0500
2300 -1.478975 0.098477 0.0500
2400 -1.470355 0.094196 0.0500
2500 -1.470071 0.091730 0.0500
2600 -1.476270 0.090293 0.0500
2700 -1.493039 0.095875 0.0500
2800 -1.521887 0.124600 0.0500
2900 -1.539741 0.147506 0.0500
3000 -1.524720 0.119523 0.0500
3100 -1.521987 0.112094 0.0500
3200 -1.537731 0.130106 0.0500
3300 -1.536847 0.124195 0.0500
3400 -1.520430 0.099836 0.0500
3500 -1.527559 0.104987 0.0500
3600 -1.570452 0.164253 0.0500
3700 -1.589549 0.183773 0.0500
3800 -1.578085 0.159819 0.0500
3900 -1.578232 0.153023 0.0500
4000 -1.603618 0.176767 0.0500
4100 -1.608044 0.172982 0.0500
4200 -1.579717 0.136288 0.0500
4300 -1.579020 0.130526 0.0500
4400 -1.610419 0.157244 0.0500
4500 -1.616953 0.157301 0.0500
4600 -1.603268 0.137361 0.0500
4700 -1.612349 0.140529 0.0500
4800 -1.641289 0.166109 0.0500
4900 -1.644597 0.162314 0.0500
5000 -1.612920 0.125635 0.0500
5100 -1.606806 0.117116 0.0500
5200 -1.624644 0.126732 0.0500
5300 -1.624075 0.121840 0.0500
5400 -1.590451 0.099013 0.0500
5500 -1.584912 0.094522 0.0500
5600 -1.613265 0.104858 0.0500
5700 -1.625805 0.111258 0.0500
5800 -1.599111 0.091963 0.0500
5900 -1.570136 0.083234 0.0500
6000 -1.567812 0.081009 0.0500
6100 -1.568094 0.079231 0.0500
6200 -1.549174 0.075183 0.0500
6300 -1.520581 0.069206 0.0500
