# step t_ps cv bias_e
0 0.0000 -1.462384 0.000000
10 0.0050 -1.463233 0.238972
20 0.0100 -1.464443 0.238804
30 0.0150 -1.465751 0.238465
40 0.0200 -1.467358 0.237827
50 0.0250 -1.469103 0.236858
60 0.0300 -1.470737 0.235694
70 0.0350 -1.472519 0.234146
80 0.0400 -1.474520 0.232068
90 0.0450 -1.476795 0.229282
100 0.0500 -1.479119 0.225987
110 0.0550 -1.481523 0.446236
120 0.0600 -1.483853 0.441327
130 0.0650 -1.486176 0.435574
140 0.0700 -1.488304 0.429574
150 0.0750 -1.490283 0.423402
160 0.0800 -1.492019 0.417533
170 0.0850 -1.493601 0.411837
180 0.0900 -1.494868 0.407048
190 0.0950 -1.495898 0.403010
200 0.1000 -1.496600 0.400185
210 0.1050 -1.497161 0.611581
220 0.1100 -1.497676 0.609402
230 0.1150 -1.497989 0.608056
240 0.1200 -1.498143 0.607384
250 0.1250 -1.498032 0.607868
260 0.1300 -1.497568 0.609864
270 0.1350 -1.496903 0.612649
280 0.1400 -1.496088 0.615944
290 0.1450 -1.494889 0.620549
300 0.1500 -1.493372 0.625945
310 0.1550 -1.491585 0.832184
320 0.1600 -1.489610 0.837262
330 0.1650 -1.487309 0.841681
340 0.1700 -1.485264 0.844234
350 0.1750 -1.483169 0.845498
360 0.1800 -1.481077 0.845389
370 0.1850 -1.479015 0.843941
380 0.1900 -1.477062 0.841350
390 0.1950 -1.475167 0.837713
400 0.2000 -1.473348 0.833193
410 0.2050 -1.471560 1.017007
420 0.2100 -1.469976 1.011125
430 0.2150 -1.468439 1.004547
440 0.2200 -1.466929 0.997271
450 0.2250 -1.465639 0.990427
460 0.2300 -1.464365 0.983113
470 0.2350 -1.463302 0.976599
480 0.2400 -1.462648 0.972405
490 0.2450 -1.462063 0.968538
500 0.2500 -1.461676 0.965924
510 0.2550 -1.461502 1.147176
520 0.2600 -1.461802 1.149224
530 0.2650 -1.462205 1.151923
540 0.2700 -1.462641 1.154772
550 0.2750 -1.463074 1.157527
560 0.2800 -1.463682 1.161268
570 0.2850 -1.464398 1.165485
580 0.2900 -1.465300 1.170501
590 0.2950 -1.466252 1.175433
600 0.3000 -1.467147 1.179724
610 0.3050 -1.467985 1.355277
620 0.3100 -1.468891 1.358881
630 0.3150 -1.469607 1.361438
640 0.3200 -1.470377 1.363903
650 0.3250 -1.471168 1.366128
660 0.3300 -1.471911 1.367929
670 0.3350 -1.472473 1.369106
680 0.3400 -1.472678 1.369495
690 0.3450 -1.472797 1.369712
700 0.3500 -1.472848 1.369802
710 0.3550 -1.472995 1.533020
720 0.3600 -1.473140 1.533257
730 0.3650 -1.473207 1.533362
740 0.3700 -1.473275 1.533467
750 0.3750 -1.473275 1.533467
760 0.3800 -1.473094 1.533182
770 0.3850 -1.472584 1.532281
780 0.3900 -1.471777 1.530552
790 0.3950 -1.470691 1.527639
800 0.4000 -1.469166 1.522417
810 0.4050 -1.467374 1.670667
820 0.4100 -1.465382 1.659564
830 0.4150 -1.463253 1.645045
840 0.4200 -1.461156 1.628139
850 0.4250 -1.458946 1.607615
860 0.4300 -1.456621 1.583147
870 0.4350 -1.454262 1.555434
880 0.4400 -1.451993 1.526215
890 0.4450 -1.449697 1.494226
900 0.4500 -1.447520 1.461825
910 0.4550 -1.445496 1.588710
920 0.4600 -1.443657 1.558171
930 0.4650 -1.441823 1.526412
940 0.4700 -1.439850 1.490869
950 0.4750 -1.437905 1.454565
960 0.4800 -1.436133 1.420534
970 0.4850 -1.434516 1.388755
980 0.4900 -1.432959 1.357583
990 0.4950 -1.431594 1.329833
1000 0.5000 -1.430392 1.305127
1010 0.5050 -1.429756 1.457871
1020 0.5100 -1.429460 1.451715
1030 0.5150 -1.429324 1.448869
1040 0.5200 -1.429167 1.445601
1050 0.5250 -1.429437 1.451232
1060 0.5300 -1.429878 1.460423
1070 0.5350 -1.430270 1.468538
1080 0.5400 -1.430769 1.478832
1090 0.5450 -1.431323 1.490188
1100 0.5500 -1.431916 1.502274
1110 0.5550 -1.432471 1.670533
1120 0.5600 -1.433216 1.685418
1130 0.5650 -1.433931 1.699543
1140 0.5700 -1.434226 1.705306
1150 0.5750 -1.434379 1.708301
1160 0.5800 -1.434521 1.711052
1170 0.5850 -1.434514 1.710916
1180 0.5900 -1.434288 1.706521
1190 0.5950 -1.433791 1.696788
1200 0.6000 -1.433147 1.684052
1210 0.6050 -1.432115 1.812578
1220 0.6100 -1.430730 1.784105
1230 0.6150 -1.429270 1.753378
1240 0.6200 -1.427670 1.718890
1250 0.6250 -1.426041 1.683001
1260 0.6300 -1.424376 1.645599
1270 0.6350 -1.422545 1.603700
1280 0.6400 -1.420574 1.557835
1290 0.6450 -1.418458 1.507859
1300 0.6500 -1.416424 1.459298
1310 0.6550 -1.414892 1.581322
1320 0.6600 -1.413778 1.554277
1330 0.6650 -1.412966 1.534482
1340 0.6700 -1.412225 1.516350
1350 0.6750 -1.411573 1.500356
1360 0.6800 -1.411050 1.487532
1370 0.6850 -1.410481 1.473522
1380 0.6900 -1.409858 1.458177
1390 0.6950 -1.409351 1.445688
1400 0.7000 -1.408886 1.434221
1410 0.7050 -1.408526 1.585383
1420 0.7100 -1.408049 1.573570
1430 0.7150 -1.407609 1.562686
1440 0.7200 -1.407128 1.550745
1450 0.7250 -1.406897 1.545004
1460 0.7300 -1.406881 1.544618
1470 0.7350 -1.406931 1.545865
1480 0.7400 -1.406993 1.547402
1490 0.7450 -1.406907 1.545249
1500 0.7500 -1.406879 1.544555
1510 0.7550 -1.406813 1.698118
1520 0.7600 -1.406666 1.694461
1530 0.7650 -1.406528 1.691037
1540 0.7700 -1.406188 1.682581
1550 0.7750 -1.405733 1.671218
1560 0.7800 -1.405280 1.659895
1570 0.7850 -1.405045 1.654023
1580 0.7900 -1.404990 1.652633
1590 0.7950 -1.404857 1.649308
1600 0.8000 -1.404548 1.641558
1610 0.8050 -1.403992 1.778628
1620 0.8100 -1.403359 1.762673
1630 0.8150 -1.402537 1.741886
1640 0.8200 -1.401570 1.717321
1650 0.8250 -1.400252 1.683678
1660 0.8300 -1.398543 1.639864
1670 0.8350 -1.396658 1.591327
1680 0.8400 -1.394543 1.536753
1690 0.8450 -1.392445 1.482599
1700 0.8500 -1.390233 1.425651
1710 0.8550 -1.387893 1.525978
1720 0.8600 -1.385617 1.467602
1730 0.8650 -1.383759 1.420135
1740 0.8700 -1.381942 1.373938
1750 0.8750 -1.380279 1.331930
1760 0.8800 -1.378974 1.299156
1770 0.8850 -1.377810 1.270110
1780 0.8900 -1.376568 1.239324
1790 0.8950 -1.375406 1.210728
1800 0.9000 -1.374311 1.183983
1810 0.9050 -1.373432 1.334268
1820 0.9100 -1.372652 1.315391
1830 0.9150 -1.372031 1.300416
1840 0.9200 -1.371465 1.286803
1850 0.9250 -1.371112 1.278318
1860 0.9300 -1.370974 1.275021
1870 0.9350 -1.371066 1.277225
1880 0.9400 -1.371350 1.284037
1890 0.9450 -1.371884 1.296867
1900 0.9500 -1.372450 1.310518
1910 0.9550 -1.372942 1.488082
1920 0.9600 -1.373332 1.497524
1930 0.9650 -1.373538 1.502489
1940 0.9700 -1.373776 1.508265
1950 0.9750 -1.373960 1.512703
1960 0.9800 -1.373959 1.512690
1970 0.9850 -1.373979 1.513181
1980 0.9900 -1.374130 1.516833
1990 0.9950 -1.374330 1.521664
2000 1.0000 -1.374329 1.521643
2010 1.0050 -1.374000 1.669859
2020 1.0100 -1.373334 1.653728
2030 1.0150 -1.372525 1.634112
2040 1.0200 -1.371743 1.615144
2050 1.0250 -1.370842 1.593260
2060 1.0300 -1.369694 1.565409
2070 1.0350 -1.368268 1.530832
2080 1.0400 -1.366498 1.487994
2090 1.0450 -1.364434 1.438206
2100 1.0500 -1.362449 1.390543
2110 1.0550 -1.360324 1.501710
2120 1.0600 -1.358177 1.450464
2130 1.0650 -1.355954 1.397610
2140 1.0700 -1.353895 1.348939
2150 1.0750 -1.351982 1.304025
2160 1.0800 -1.350208 1.262665
2170 1.0850 -1.348688 1.227485
2180 1.0900 -1.347581 1.202053
2190 1.0950 -1.346772 1.183552
2200 1.1000 -1.346179 1.170045
2210 1.1050 -1.345874 1.335438
2220 1.1100 -1.345634 1.330002
2230 1.1150 -1.345556 1.328229
2240 1.1200 -1.345643 1.330190
2250 1.1250 -1.345991 1.338097
2260 1.1300 -1.346543 1.350640
2270 1.1350 -1.347357 1.369199
2280 1.1400 -1.348429 1.393677
2290 1.1450 -1.349553 1.419401
2300 1.1500 -1.350524 1.441685
2310 1.1550 -1.351469 1.623084
2320 1.1600 -1.352361 1.643523
2330 1.1650 -1.353061 1.659538
2340 1.1700 -1.353360 1.666373
2350 1.1750 -1.353227 1.663327
2360 1.1800 -1.352639 1.649880
2370 1.1850 -1.351783 1.630290
2380 1.1900 -1.350604 1.603228
2390 1.1950 -1.348996 1.566290
2400 1.2000 -1.347054 1.521626
2410 1.2050 -1.344915 1.628465
2420 1.2100 -1.342464 1.571656
2430 1.2150 -1.339891 1.511820
2440 1.2200 -1.337343 1.452525
2450 1.2250 -1.334878 1.395250
2460 1.2300 -1.332519 1.340597
2470 1.2350 -1.330148 1.285982
2480 1.2400 -1.327580 1.227272
2490 1.2450 -1.324763 1.163607
2500 1.2500 -1.321684 1.095074
2510 1.2550 -1.318663 1.204752
2520 1.2600 -1.315655 1.139565
2530 1.2650 -1.312748 1.077572
2540 1.2700 -1.309872 1.017314
2550 1.2750 -1.307182 0.962116
2560 1.2800 -1.304708 0.912425
2570 1.2850 -1.302289 0.864922
2580 1.2900 -1.299931 0.819718
2590 1.2950 -1.297758 0.779106
