# step cv h sig
0 -1.483269 0.239006 0.0500
100 -1.475600 0.223733 0.0500
200 -1.472112 0.210380 0.0500
300 -1.470989 0.198457 0.0500
400 -1.458635 0.190134 0.0500
500 -1.439943 0.188470 0.0500
600 -1.430072 0.184824 0.0500
700 -1.429870 0.175646 0.0500
800 -1.427497 0.168716 0.0500
900 -1.420964 0.165316 0.0500
1000 -1.401021 0.174377 0.0500
1100 -1.373839 0.192309 0.0500
1200 -1.359109 0.195560 0.0500
1300 -1.351772 0.191175 0.0500
1400 -1.342023 0.188736 0.0500
1500 -1.340869 0.179880 0.0500
1600 -1.333427 0.176406 0.0500
1700 -1.328905 0.171181 0.0500
1800 -1.320964 0.169094 0.0500
1900 -1.311636 0.168717 0.0500
2000 -1.299752 0.171245 0.0500
2100 -1.292904 0.169471 0.0500
2200 -1.302110 0.153864 0.0500
2300 -1.308372 0.142965 0.0500
2400 -1.303798 0.140431 0.0500
2500 -1.285063 0.150872 0.0500
2600 -1.263540 0.167938 0.0500
2700 -1.257422 0.167181 0.0500
2800 -1.278202 0.138771 0.0500
2900 -1.295062 0.121742 0.0500
3000 -1.283791 0.124838 0.0500
3100 -1.275103 0.127499 0.0500
3200 -1.298472 0.108636 0.0500
3300 -1.326208 0.102506 0.0500
3400 -1.310512 0.099642 0.0500
3500 -1.269306 0.120745 0.0500
3600 -1.270167 0.115898 0.0500
3700 -1.328265 0.094141 0.0500
3800 -1.385815 0.117608 0.0500
3900 -1.369085 0.106335 0.0500
4000 -1.335003 0.089668 0.0500
4100 -1.362217 0.097896 0.0500
4200 -1.407105 0.114915 0.0500
4300 -1.387545 0.104004 0.0500
4400 -1.351937 0.087231 0.0500
4500 -1.369908 0.091774 0.0500
4600 -1.429021 0.113704 0.0500
4700 -1.447071 0.118570 0.0500
4800 -1.421995 0.104276 0.0500
4900 -1.420336 0.100736 0.0500
5000 -1.450741 0.111207 0.0500
5100 -1.467668 0.119750 0.0500
5200 -1.452563 0.105456 0.0500
5300 -1.450374 0.101225 0.0500
5400 -1.471326 0.112697 0.0500
5500 -1.502029 0.143599 0.0500
5600 -1.509921 0.148483 0.0500
5700 -1.501977 0.132343 0.0500
5800 -1.505596 0.131898 0.0500
5900 -1.514495 0.138199 0.0500
6000 -1.512979 0.131084 0.0500
6100 -1.509364 0.122177 0.0500
6200 -1.519449 0.129894 0.0500
6300 -1.521512 0.127769 0.0500
6400 -1.506370 0.107192 0.0500
6500 -1.494680 0.094728 0.0500
6600 -1.515715 0.110572 0.0500
6700 -1.529766 0.123622 0.0500
6800 -1.512635 0.100759 0.0500
6900 -1.495352 0.085386 0.0500
7000 -1.508509 0.092268 0.0500
7100 -1.529708 0.111393 0.0500
7200 -1.513362 0.091260 0.0500
7300 -1.491623 0.075886 0.0500
7400 -1.489688 0.073586 0.0500
7500 -1.502567 0.078045 0.0500
7600 -1.503549 0.076939 0.0500
7700 -1.491531 0.069742 0.0500
