# step t_ps cv bias_e
0 0.0000 -1.455586 0.000000
10 0.0050 -1.455035 0.238992
20 0.0100 -1.454912 0.238984
30 0.0150 -1.455188 0.238998
40 0.0200 -1.455716 0.239005
50 0.0250 -1.456646 0.238952
60 0.0300 -1.458043 0.238717
70 0.0350 -1.459857 0.238136
80 0.0400 -1.461878 0.237121
90 0.0450 -1.464272 0.235426
100 0.0500 -1.466816 0.233052
110 0.0550 -1.469755 0.453142
120 0.0600 -1.473037 0.447086
130 0.0650 -1.476410 0.438996
140 0.0700 -1.480058 0.428241
150 0.0750 -1.483845 0.415038
160 0.0800 -1.487685 0.399747
170 0.0850 -1.491393 0.383392
180 0.0900 -1.494850 0.366952
190 0.0950 -1.497937 0.351457
200 0.1000 -1.500521 0.338015
210 0.1050 -1.502413 0.545250
220 0.1100 -1.503715 0.537948
230 0.1150 -1.504330 0.534425
240 0.1200 -1.504399 0.534025
250 0.1250 -1.503863 0.537105
260 0.1300 -1.502487 0.544842
270 0.1350 -1.500554 0.555294
280 0.1400 -1.498196 0.567350
290 0.1450 -1.495401 0.580552
300 0.1500 -1.492151 0.594308
310 0.1550 -1.488585 0.809162
320 0.1600 -1.484933 0.818351
330 0.1650 -1.481072 0.824020
340 0.1700 -1.477373 0.825478
350 0.1750 -1.473836 0.823211
360 0.1800 -1.470400 0.817612
370 0.1850 -1.467105 0.809157
380 0.1900 -1.464093 0.798866
390 0.1950 -1.461301 0.787222
400 0.2000 -1.458924 0.775785
410 0.2050 -1.456822 0.956796
420 0.2100 -1.455166 0.946873
430 0.2150 -1.453813 0.938168
440 0.2200 -1.452859 0.931718
450 0.2250 -1.452283 0.927701
460 0.2300 -1.451950 0.925341
470 0.2350 -1.451991 0.925633
480 0.2400 -1.452306 0.927870
490 0.2450 -1.452774 0.931137
500 0.2500 -1.453659 0.937146
510 0.2550 -1.454947 1.129357
520 0.2600 -1.456501 1.138557
530 0.2650 -1.458491 1.149021
540 0.2700 -1.460783 1.159183
550 0.2750 -1.463387 1.168220
560 0.2800 -1.466274 1.175053
570 0.2850 -1.469485 1.178656
580 0.2900 -1.472914 1.177828
590 0.2950 -1.476677 1.171392
600 0.3000 -1.480630 1.158518
610 0.3050 -1.484743 1.311014
620 0.3100 -1.488846 1.283370
630 0.3150 -1.492798 1.250286
640 0.3200 -1.496594 1.213050
650 0.3250 -1.500304 1.171998
660 0.3300 -1.503692 1.130957
670 0.3350 -1.506609 1.093245
680 0.3400 -1.508846 1.063043
690 0.3450 -1.510401 1.041471
700 0.3500 -1.511380 1.027663
710 0.3550 -1.511990 1.198297
720 0.3600 -1.512193 1.195382
730 0.3650 -1.512011 1.197989
740 0.3700 -1.511323 1.207789
750 0.3750 -1.510099 1.224965
760 0.3800 -1.508251 1.250155
770 0.3850 -1.506109 1.278187
780 0.3900 -1.503673 1.308404
790 0.3950 -1.500943 1.339962
800 0.4000 -1.498044 1.370574
810 0.4050 -1.495030 1.561632
820 0.4100 -1.491970 1.585755
830 0.4150 -1.489042 1.604471
840 0.4200 -1.486109 1.618773
850 0.4250 -1.483367 1.628009
860 0.4300 -1.480748 1.633029
870 0.4350 -1.478251 1.634324
880 0.4400 -1.475927 1.632459
890 0.4450 -1.473544 1.627481
900 0.4500 -1.471301 1.619984
910 0.4550 -1.469177 1.762220
920 0.4600 -1.467246 1.751083
930 0.4650 -1.465780 1.741198
940 0.4700 -1.464639 1.732656
950 0.4750 -1.463971 1.727319
960 0.4800 -1.463763 1.725604
970 0.4850 -1.463978 1.727373
980 0.4900 -1.464372 1.730555
990 0.4950 -1.464924 1.734861
1000 0.5000 -1.465761 1.741058
1010 0.5050 -1.466751 1.894751
1020 0.5100 -1.467893 1.901822
1030 0.5150 -1.469085 1.908314
1040 0.5200 -1.470389 1.914363
1050 0.5250 -1.471846 1.919815
1060 0.5300 -1.473282 1.923829
1070 0.5350 -1.474620 1.926346
1080 0.5400 -1.475875 1.927630
1090 0.5450 -1.476760 1.927909
1100 0.5500 -1.477311 1.927821
1110 0.5550 -1.477484 2.067177
1120 0.5600 -1.477509 2.067165
1130 0.5650 -1.477298 2.067251
1140 0.5700 -1.476888 2.067328
1150 0.5750 -1.476221 2.067194
1160 0.5800 -1.475123 2.066278
1170 0.5850 -1.473851 2.064136
1180 0.5900 -1.472442 2.060412
1190 0.5950 -1.470962 2.054981
1200 0.6000 -1.469309 2.047081
1210 0.6050 -1.467458 2.170735
1220 0.6100 -1.465422 2.155475
1230 0.6150 -1.463233 2.135713
1240 0.6200 -1.461087 2.113051
1250 0.6250 -1.459000 2.087990
1260 0.6300 -1.456921 2.060151
1270 0.6350 -1.454640 2.026487
1280 0.6400 -1.452271 1.988200
1290 0.6450 -1.449925 1.947191
1300 0.6500 -1.447660 1.904854
1310 0.6550 -1.445564 2.003676
1320 0.6600 -1.443464 1.959888
1330 0.6650 -1.441370 1.914213
1340 0.6700 -1.439649 1.875279
1350 0.6750 -1.438198 1.841580
1360 0.6800 -1.437017 1.813585
1370 0.6850 -1.436124 1.792139
1380 0.6900 -1.435553 1.778271
1390 0.6950 -1.435266 1.771272
1400 0.7000 -1.435301 1.772128
1410 0.7050 -1.435784 1.929524
1420 0.7100 -1.436743 1.952611
1430 0.7150 -1.437921 1.980484
1440 0.7200 -1.439243 2.011105
1450 0.7250 -1.440630 2.042426
1460 0.7300 -1.441995 2.072376
1470 0.7350 -1.443514 2.104629
1480 0.7400 -1.445129 2.137623
1490 0.7450 -1.446613 2.166686
1500 0.7500 -1.448027 2.193208
1510 0.7550 -1.449425 2.347652
1520 0.7600 -1.450701 2.369308
1530 0.7650 -1.451859 2.387986
1540 0.7700 -1.452988 2.405278
1550 0.7750 -1.453963 2.419467
1560 0.7800 -1.454976 2.433457
1570 0.7850 -1.455871 2.445188
1580 0.7900 -1.456538 2.453521
1590 0.7950 -1.456855 2.457362
1600 0.8000 -1.457087 2.460126
1610 0.8050 -1.457077 2.580152
1620 0.8100 -1.456681 2.575401
1630 0.8150 -1.456062 2.567732
1640 0.8200 -1.455372 2.558800
1650 0.8250 -1.454506 2.547057
1660 0.8300 -1.453096 2.526658
1670 0.8350 -1.451408 2.500201
1680 0.8400 -1.449550 2.468603
1690 0.8450 -1.447636 2.433464
1700 0.8500 -1.445552 2.392330
1710 0.8550 -1.443226 2.465390
1720 0.8600 -1.440474 2.402452
1730 0.8650 -1.437333 2.325100
1740 0.8700 -1.433835 2.232875
1750 0.8750 -1.429926 2.123455
1760 0.8800 -1.425877 2.004478
1770 0.8850 -1.421673 1.876547
1780 0.8900 -1.417417 1.744322
1790 0.8950 -1.413073 1.608378
1800 0.9000 -1.408718 1.472816
1810 0.9050 -1.404679 1.507019
1820 0.9100 -1.400734 1.387886
1830 0.9150 -1.397152 1.282395
1840 0.9200 -1.393745 1.185007
1850 0.9250 -1.390868 1.105365
1860 0.9300 -1.388607 1.044642
1870 0.9350 -1.386781 0.996847
1880 0.9400 -1.385232 0.957241
1890 0.9450 -1.384223 0.931902
1900 0.9500 -1.383691 0.918723
1910 0.9550 -1.383657 1.102749
1920 0.9600 -1.383942 1.109783
1930 0.9650 -1.384575 1.125550
1940 0.9700 -1.385684 1.153431
1950 0.9750 -1.387169 1.191329
1960 0.9800 -1.388761 1.232638
1970 0.9850 -1.390558 1.280075
1980 0.9900 -1.392358 1.328407
1990 0.9950 -1.394100 1.375901
2000 1.0000 -1.395817 1.423369
2010 1.0050 -1.397481 1.630380
2020 1.0100 -1.399018 1.673599
2030 1.0150 -1.400525 1.716185
2040 1.0200 -1.401780 1.751773
2050 1.0250 -1.402815 1.781200
2060 1.0300 -1.403620 1.804125
2070 1.0350 -1.403984 1.814516
2080 1.0400 -1.403742 1.807603
2090 1.0450 -1.403111 1.789649
2100 1.0500 -1.401993 1.757830
2110 1.0550 -1.400537 1.862667
2120 1.0600 -1.398691 1.810267
2130 1.0650 -1.396637 1.752149
2140 1.0700 -1.394411 1.689480
2150 1.0750 -1.392087 1.624544
2160 1.0800 -1.389370 1.549461
2170 1.0850 -1.386577 1.473383
2180 1.0900 -1.383748 1.397714
2190 1.0950 -1.380987 1.325355
2200 1.1000 -1.378435 1.259941
2210 1.1050 -1.376005 1.366894
2220 1.1100 -1.373572 1.306767
2230 1.1150 -1.371270 1.250924
2240 1.1200 -1.369271 1.203315
2250 1.1250 -1.367588 1.163865
2260 1.1300 -1.366051 1.128380
2270 1.1350 -1.364854 1.101129
2280 1.1400 -1.364049 1.082971
2290 1.1450 -1.363672 1.074526
2300 1.1500 -1.363592 1.072733
2310 1.1550 -1.363972 1.258324
2320 1.1600 -1.364616 1.272787
2330 1.1650 -1.365553 1.293938
2340 1.1700 -1.366757 1.321349
2350 1.1750 -1.368099 1.352136
2360 1.1800 -1.369537 1.385422
2370 1.1850 -1.371031 1.420325
2380 1.1900 -1.372736 1.460514
2390 1.1950 -1.374426 1.500707
2400 1.2000 -1.376208 1.543468
2410 1.2050 -1.377880 1.739095
2420 1.2100 -1.379348 1.774629
2430 1.2150 -1.380484 1.802196
2440 1.2200 -1.381404 1.824535
2450 1.2250 -1.382038 1.839955
2460 1.2300 -1.382340 1.847290
2470 1.2350 -1.382254 1.845201
2480 1.2400 -1.382044 1.840108
2490 1.2450 -1.381559 1.828293
2500 1.2500 -1.380703 1.807499
2510 1.2550 -1.379476 1.921876
2520 1.2600 -1.378163 1.889940
2530 1.2650 -1.376761 1.855795
2540 1.2700 -1.374965 1.812043
2550 1.2750 -1.372900 1.761744
2560 1.2800 -1.370657 1.707147
2570 1.2850 -1.368065 1.644213
2580 1.2900 -1.364946 1.568785
2590 1.2950 -1.361529 1.486737
2600 1.3000 -1.357887 1.400156
2610 1.3050 -1.354088 1.472225
2620 1.3100 -1.350306 1.383762
2630 1.3150 -1.346479 1.295218
2640 1.3200 -1.342695 1.209004
2650 1.3250 -1.338975 1.125842
2660 1.3300 -1.335330 1.046217
