# step cv h sig
0 -1.462384 0.239006 0.0500
100 -1.463800 0.223564 0.0500
200 -1.460873 0.210042 0.0500
300 -1.460087 0.198086 0.0500
400 -1.452279 0.188216 0.0500
500 -1.439705 0.182167 0.0500
600 -1.438065 0.173776 0.0500
700 -1.452886 0.162188 0.0500
800 -1.472766 0.159093 0.0500
900 -1.462474 0.149090 0.0500
1000 -1.430432 0.152145 0.0500
1100 -1.412758 0.160939 0.0500
1200 -1.415360 0.151394 0.0500
1300 -1.409237 0.150895 0.0500
1400 -1.397592 0.156848 0.0500
1500 -1.386535 0.162665 0.0500
1600 -1.390432 0.151107 0.0500
1700 -1.390803 0.144469 0.0500
1800 -1.370842 0.160989 0.0500
1900 -1.347116 0.181786 0.0500
2000 -1.339255 0.181347 0.0500
2100 -1.341023 0.170574 0.0500
2200 -1.332202 0.171306 0.0500
2300 -1.329761 0.165605 0.0500
2400 -1.326819 0.160803 0.0500
2500 -1.317171 0.162584 0.0500
2600 -1.299495 0.172507 0.0500
2700 -1.278789 0.185244 0.0500
2800 -1.272934 0.181551 0.0500
2900 -1.281346 0.164970 0.0500
3000 -1.300065 0.143272 0.0500
3100 -1.300031 0.137668 0.0500
3200 -1.299330 0.132910 0.0500
3300 -1.295135 0.130746 0.0500
3400 -1.290285 0.129382 0.0500
3500 -1.276197 0.136350 0.0500
3600 -1.258512 0.149636 0.0500
3700 -1.246567 0.157543 0.0500
3800 -1.271473 0.125349 0.0500
3900 -1.307787 0.103710 0.0500
4000 -1.313003 0.100033 0.0500
4100 -1.294772 0.101647 0.0500
4200 -1.291394 0.100204 0.0500
4300 -1.320346 0.092304 0.0500
4400 -1.337604 0.092252 0.0500
4500 -1.316011 0.087806 0.0500
4600 -1.287200 0.093931 0.0500
4700 -1.290693 0.089688 0.0500
4800 -1.314529 0.081970 0.0500
4900 -1.323039 0.080543 0.0500
5000 -1.305530 0.079245 0.0500
5100 -1.296198 0.080032 0.0500
5200 -1.310188 0.075252 0.0500
5300 -1.325958 0.074583 0.0500
5400 -1.326124 0.073074 0.0500
5500 -1.322511 0.071064 0.0500
5600 -1.318664 0.069333 0.0500
5700 -1.321197 0.068192 0.0500
5800 -1.320536 0.066846 0.0500
5900 -1.326598 0.066404 0.0500
6000 -1.345301 0.070800 0.0500
6100 -1.353498 0.072913 0.0500
6200 -1.342066 0.066841 0.0500
6300 -1.347854 0.067768 0.0500
6400 -1.363676 0.073553 0.0500
6500 -1.376692 0.078249 0.0500
6600 -1.373861 0.075248 0.0500
6700 -1.373480 0.073509 0.0500
6800 -1.381265 0.075468 0.0500
6900 -1.395205 0.079742 0.0500
7000 -1.403586 0.081256 0.0500
7100 -1.400225 0.078163 0.0500
7200 -1.408145 0.079419 0.0500
7300 -1.438759 0.091238 0.0500
7400 -1.451820 0.097298 0.0500
7500 -1.442629 0.088765 0.0500
7600 -1.444591 0.087722 0.0500
7700 -1.456620 0.093734 0.0500
7800 -1.461259 0.095052 0.0500
7900 -1.467315 0.097965 0.0500
8000 -1.465918 0.094040 0.0500
8100 -1.474144 0.099558 0.0500
8200 -1.494993 0.123051 0.0500
8300 -1.509720 0.141359 0.0500
8400 -1.500774 0.122500 0.0500
8500 -1.494834 0.110443 0.0500
8600 -1.499727 0.113395 0.0500
8700 -1.510439 0.124706 0.0500
8800 -1.517543 0.130852 0.0500
8900 -1.515470 0.123163 0.0500
9000 -1.526632 0.135172 0.0500
9100 -1.555831 0.173776 0.0500
9200 -1.549628 0.156920 0.0500
9300 -1.532375 0.127343 0.0500
9400 -1.540834 0.133641 0.0500
9500 -1.560596 0.154421 0.0500
9600 -1.553495 0.138977 0.0500
9700 -1.547187 0.126278 0.0500
9800 -1.551798 0.127114 0.0500
9900 -1.565429 0.138681 0.0500
10000 -1.563529 0.131173 0.0500
10100 -1.540334 0.103434 0.0500
10200 -1.532404 0.094224 0.0500
10300 -1.551640 0.108039 0.0500
10400 -1.557467 0.110570 0.0500
10500 -1.548819 0.099155 0.0500
10600 -1.551248 0.098534 0.0500
10700 -1.562188 0.106233 0.0500
10800 -1.561496 0.102428 0.0500
10900 -1.542910 0.084560 0.0500
11000 -1.528886 0.075056 0.0500
11100 -1.535820 0.076834 0.0500
11200 -1.539175 0.077013 0.0500
11300 -1.517757 0.066587 0.0500
11400 -1.488838 0.060225 0.0500
11500 -1.479818 0.058593 0.0500
11600 -1.488696 0.058259 0.0500
11700 -1.470974 0.056536 0.0500
11800 -1.431567 0.058895 0.0500
11900 -1.422816 0.059089 0.0500
12000 -1.452797 0.054842 0.0500
12100 -1.464665 0.053577 0.0500
12200 -1.420900 0.057051 0.0500
12300 -1.389827 0.058922 0.0500
12400 -1.418142 0.055741 0.0500
12500 -1.441669 0.052211 0.0500
12600 -1.410656 0.055096 0.0500
12700 -1.370883 0.055573 0.0500
12800 -1.385962 0.055172 0.0500
12900 -1.420014 0.051969 0.0500
13000 -1.397770 0.053235 0.0500
13100 -1.353895 0.051853 0.0500
13200 -1.348682 0.050854 0.0500
13300 -1.376167 0.051587 0.0500
13400 -1.378188 0.050910 0.0500
13500 -1.345022 0.048860 0.0500
13600 -1.328428 0.048922 0.0500
13700 -1.347392 0.047626 0.0500
13800 -1.366203 0.047991 0.0500
13900 -1.350158 0.046487 0.0500
14000 -1.330423 0.046405 0.0500
14100 -1.331271 0.045724 0.0500
14200 -1.335691 0.044825 0.0500
14300 -1.339185 0.044135 0.0500
14400 -1.327351 0.044485 0.0500
14500 -1.309895 0.048146 0.0500
14600 -1.306837 0.048680 0.0500
14700 -1.325327 0.043109 0.0500
14800 -1.352276 0.042132 0.0500
14900 -1.351287 0.041567 0.0500
15000 -1.320957 0.042495 0.0500
15100 -1.307921 0.045784 0.0500
15200 -1.327485 0.040476 0.0500
15300 -1.353716 0.040134 0.0500
15400 -1.351524 0.039496 0.0500
15500 -1.341693 0.038569 0.0500
15600 -1.354539 0.038919 0.0500
15700 -1.383764 0.042324 0.0500
15800 -1.382166 0.041612 0.0500
15900 -1.350190 0.037417 0.0500
16000 -1.343382 0.036764 0.0500
16100 -1.379828 0.040143 0.0500
16200 -1.411750 0.043429 0.0500
16300 -1.397195 0.041487 0.0500
16400 -1.376141 0.038400 0.0500
16500 -1.393420 0.040170 0.0500
16600 -1.424910 0.042760 0.0500
16700 -1.426371 0.042369 0.0500
16800 -1.411086 0.040640 0.0500
16900 -1.426170 0.041403 0.0500
17000 -1.454565 0.043803 0.0500
17100 -1.447531 0.042418 0.0500
17200 -1.422500 0.039814 0.0500
17300 -1.421898 0.039333 0.0500
17400 -1.445575 0.040888 0.0500
17500 -1.450097 0.040949 0.0500
17600 -1.426341 0.038395 0.0500
17700 -1.417918 0.037516 0.0500
17800 -1.445839 0.039244 0.0500
17900 -1.466187 0.041879 0.0500
18000 -1.445787 0.038394 0.0500
18100 -1.416459 0.036121 0.0500
18200 -1.428277 0.036274 0.0500
18300 -1.457204 0.038830 0.0500
18400 -1.447336 0.037084 0.0500
18500 -1.411319 0.034717 0.0500
18600 -1.410494 0.034365 0.0500
18700 -1.448879 0.036350 0.0500
18800 -1.467051 0.039003 0.0500
18900 -1.443326 0.035019 0.0500
19000 -1.417897 0.033407 0.0500
19100 -1.432177 0.033567 0.0500
19200 -1.451191 0.034989 0.0500
19300 -1.441576 0.033593 0.0500
19400 -1.414054 0.032253 0.0500
19500 -1.410335 0.031967 0.0500
19600 -1.439887 0.032632 0.0500
19700 -1.462196 0.035419 0.0500
19800 -1.441670 0.032197 0.0500
19900 -1.415037 0.030987 0.0500
20000 -1.415463 0.030717 0.0500
20100 -1.440641 0.031342 0.0500
20200 -1.454859 0.032799 0.0500
20300 -1.437574 0.030565 0.0500
20400 -1.419334 0.029760 0.0500
20500 -1.429211 0.029654 0.0500
20600 -1.439478 0.029965 0.0500
20700 -1.429359 0.029173 0.0500
20800 -1.425630 0.028849 0.0500
20900 -1.439631 0.029263 0.0500
21000 -1.455821 0.031028 0.0500
21100 -1.455851 0.030766 0.0500
21200 -1.445945 0.029131 0.0500
21300 -1.445088 0.028804 0.0500
21400 -1.460095 0.030789 0.0500
21500 -1.462326 0.030971 0.0500
21600 -1.440989 0.027755 0.0500
21700 -1.437239 0.027301 0.0500
21800 -1.466293 0.031151 0.0500
21900 -1.489512 0.037972 0.0500
22000 -1.477859 0.033631 0.0500
22100 -1.453033 0.027945 0.0500
22200 -1.442468 0.026648 0.0500
22300 -1.454514 0.027733 0.0500
22400 -1.463346 0.029036 0.0500
22500 -1.446975 0.026418 0.0500
22600 -1.429584 0.025468 0.0500
22700 -1.431803 0.025295 0.0500
22800 -1.437082 0.025236 0.0500
22900 -1.417469 0.025271 0.0500
23000 -1.390892 0.027173 0.0500
23100 -1.395281 0.026572 0.0500
23200 -1.415602 0.024853 0.0500
23300 -1.411385 0.024927 0.0500
23400 -1.394246 0.026128 0.0500
23500 -1.397062 0.025687 0.0500
23600 -1.414818 0.024224 0.0500
23700 -1.407082 0.024535 0.0500
23800 -1.378146 0.026933 0.0500
23900 -1.363168 0.028149 0.0500
24000 -1.375944 0.026733 0.0500
24100 -1.386840 0.025548 0.0500
24200 -1.371560 0.026753 0.0500
24300 -1.349034 0.028907 0.0500
24400 -1.351006 0.028431 0.0500
24500 -1.360222 0.027212 0.0500
24600 -1.355946 0.027441 0.0500
24700 -1.348697 0.028066 0.0500
24800 -1.344151 0.028457 0.0500
24900 -1.347281 0.027806 0.0500
25000 -1.342868 0.028200 0.0500
25100 -1.338308 0.028705 0.0500
25200 -1.336799 0.028741 0.0500
25300 -1.342005 0.027662 0.0500
25400 -1.336152 0.028409 0.0500
25500 -1.325087 0.030656 0.0500
25600 -1.322357 0.031166 0.0500
25700 -1.323743 0.030498 0.0500
25800 -1.326046 0.029627 0.0500
25900 -1.321433 0.030654 0.0500
26000 -1.298708 0.040615 0.0500
26100 -1.274846 0.061279 0.0500
26200 -1.269119 0.067275 0.0500
26300 -1.276524 0.057263 0.0500
26400 -1.282717 0.050210 0.0500
26500 -1.271270 0.061483 0.0500
26600 -1.257176 0.079604 0.0500
26700 -1.249714 0.089813 0.0500
26800 -1.248770 0.089153 0.0500
26900 -1.244154 0.094711 0.0500
27000 -1.239464 0.100342 0.0500
27100 -1.229689 0.115159 0.0500
27200 -1.222555 0.124628 0.0500
27300 -1.230269 0.106727 0.0500
27400 -1.241063 0.086409 0.0500
