# step cv h sig
0 -1.483269 0.239006 0.0500
100 -1.459909 0.225108 0.0500
200 -1.435972 0.216514 0.0500
300 -1.437172 0.203475 0.0500
400 -1.437737 0.192085 0.0500
500 -1.420375 0.188327 0.0500
600 -1.403871 0.188028 0.0500
700 -1.412759 0.173365 0.0500
800 -1.432938 0.159362 0.0500
900 -1.436454 0.152269 0.0500
1000 -1.400506 0.160788 0.0500
1100 -1.353131 0.199831 0.0500
1200 -1.337349 0.202722 0.0500
1300 -1.338877 0.190379 0.0500
1400 -1.329080 0.187654 0.0500
1500 -1.322696 0.182515 0.0500
1600 -1.322548 0.173535 0.0500
1700 -1.328060 0.161925 0.0500
1800 -1.314333 0.163572 0.0500
1900 -1.285683 0.180485 0.0500
2000 -1.264961 0.191304 0.0500
2100 -1.264333 0.181909 0.0500
2200 -1.282298 0.158411 0.0500
2300 -1.290594 0.146119 0.0500
2400 -1.288697 0.141394 0.0500
2500 -1.276434 0.144235 0.0500
2600 -1.254216 0.158486 0.0500
2700 -1.236998 0.169862 0.0500
2800 -1.248379 0.150419 0.0500
2900 -1.270831 0.127056 0.0500
3000 -1.265074 0.126195 0.0500
3100 -1.252726 0.131170 0.0500
3200 -1.266645 0.116639 0.0500
3300 -1.298959 0.104734 0.0500
3400 -1.295227 0.101736 0.0500
3500 -1.251398 0.119049 0.0500
3600 -1.230333 0.137795 0.0500
3700 -1.268575 0.100295 0.0500
3800 -1.332768 0.104576 0.0500
3900 -1.339106 0.104594 0.0500
4000 -1.301016 0.089271 0.0500
4100 -1.296421 0.086811 0.0500
4200 -1.340148 0.098571 0.0500
4300 -1.360891 0.106638 0.0500
4400 -1.336125 0.091465 0.0500
4500 -1.319100 0.083080 0.0500
4600 -1.355925 0.096962 0.0500
4700 -1.403736 0.115779 0.0500
4800 -1.404075 0.112210 0.0500
4900 -1.381480 0.100925 0.0500
5000 -1.387460 0.100237 0.0500
5100 -1.418424 0.108977 0.0500
5200 -1.425703 0.109113 0.0500
5300 -1.413462 0.100639 0.0500
5400 -1.408409 0.096155 0.0500
5500 -1.438978 0.108281 0.0500
5600 -1.474124 0.139077 0.0500
5700 -1.476297 0.136365 0.0500
5800 -1.456515 0.111249 0.0500
5900 -1.452986 0.105050 0.0500
6000 -1.466391 0.113580 0.0500
6100 -1.475185 0.119165 0.0500
6200 -1.476063 0.116217 0.0500
6300 -1.472139 0.108481 0.0500
6400 -1.473580 0.106641 0.0500
6500 -1.480323 0.110429 0.0500
6600 -1.496798 0.127151 0.0500
6700 -1.493169 0.118054 0.0500
6800 -1.472970 0.093817 0.0500
6900 -1.467900 0.087704 0.0500
7000 -1.488629 0.103867 0.0500
7100 -1.507946 0.125463 0.0500
7200 -1.492098 0.101321 0.0500
7300 -1.479905 0.087187 0.0500
7400 -1.489506 0.093548 0.0500
7500 -1.502250 0.105255 0.0500
7600 -1.488449 0.087610 0.0500
7700 -1.466498 0.071576 0.0500
7800 -1.455653 0.066957 0.0500
7900 -1.465348 0.068445 0.0500
8000 -1.477632 0.073185 0.0500
8100 -1.480623 0.073633 0.0500
8200 -1.471188 0.066858 0.0500
8300 -1.470036 0.065119 0.0500
8400 -1.476523 0.067093 0.0500
8500 -1.476318 0.065734 0.0500
8600 -1.479227 0.066183 0.0500
8700 -1.482912 0.067301 0.0500
8800 -1.478523 0.063363 0.0500
8900 -1.474661 0.060300 0.0500
9000 -1.470404 0.057559 0.0500
9100 -1.474051 0.058079 0.0500
9200 -1.481365 0.060883 0.0500
9300 -1.486454 0.063168 0.0500
9400 -1.481552 0.058921 0.0500
9500 -1.480863 0.057571 0.0500
9600 -1.492500 0.064705 0.0500
9700 -1.505153 0.076329 0.0500
9800 -1.498026 0.067129 0.0500
9900 -1.473477 0.050620 0.0500
10000 -1.471136 0.049203 0.0500
10100 -1.498010 0.064275 0.0500
10200 -1.514680 0.082582 0.0500
10300 -1.485176 0.052557 0.0500
10400 -1.451703 0.045184 0.0500
10500 -1.461624 0.044418 0.0500
10600 -1.498708 0.060447 0.0500
10700 -1.508458 0.069507 0.0500
10800 -1.476350 0.045360 0.0500
10900 -1.445173 0.043773 0.0500
11000 -1.442508 0.043854 0.0500
11100 -1.464868 0.041529 0.0500
11200 -1.471175 0.042037 0.0500
11300 -1.450265 0.040930 0.0500
11400 -1.414259 0.053426 0.0500
11500 -1.411362 0.054139 0.0500
11600 -1.441344 0.041196 0.0500
11700 -1.453797 0.038785 0.0500
11800 -1.426089 0.045395 0.0500
11900 -1.395495 0.060193 0.0500
12000 -1.406859 0.053273 0.0500
12100 -1.426369 0.043486 0.0500
12200 -1.410124 0.050247 0.0500
12300 -1.373641 0.066673 0.0500
12400 -1.367249 0.067427 0.0500
12500 -1.380902 0.061571 0.0500
12600 -1.368473 0.064738 0.0500
12700 -1.345170 0.067878 0.0500
12800 -1.345672 0.066550 0.0500
12900 -1.365924 0.062079 0.0500
13000 -1.355165 0.063053 0.0500
13100 -1.341302 0.063642 0.0500
13200 -1.333427 0.063269 0.0500
13300 -1.338312 0.061711 0.0500
13400 -1.338607 0.060629 0.0500
13500 -1.329258 0.060495 0.0500
13600 -1.324632 0.060001 0.0500
13700 -1.335038 0.057972 0.0500
13800 -1.353589 0.055675 0.0500
13900 -1.358313 0.054403 0.0500
14000 -1.340805 0.054968 0.0500
14100 -1.322612 0.056102 0.0500
14200 -1.339373 0.053444 0.0500
14300 -1.362959 0.051101 0.0500
14400 -1.353990 0.051015 0.0500
14500 -1.332649 0.051906 0.0500
14600 -1.343346 0.050259 0.0500
14700 -1.374342 0.047508 0.0500
14800 -1.379049 0.046351 0.0500
14900 -1.360307 0.047414 0.0500
15000 -1.361501 0.046712 0.0500
15100 -1.387676 0.043543 0.0500
15200 -1.402742 0.040493 0.0500
15300 -1.385828 0.042814 0.0500
15400 -1.378655 0.043195 0.0500
15500 -1.397178 0.040108 0.0500
15600 -1.392536 0.040391 0.0500
15700 -1.365504 0.043114 0.0500
15800 -1.364593 0.042680 0.0500
15900 -1.389213 0.039568 0.0500
16000 -1.387222 0.039386 0.0500
16100 -1.364481 0.041360 0.0500
16200 -1.340705 0.043555 0.0500
16300 -1.343542 0.042634 0.0500
16400 -1.354234 0.040922 0.0500
16500 -1.347761 0.041140 0.0500
16600 -1.336161 0.042285 0.0500
16700 -1.333557 0.042241 0.0500
16800 -1.347393 0.039790 0.0500
16900 -1.349921 0.039091 0.0500
17000 -1.327431 0.042111 0.0500
17100 -1.306225 0.048237 0.0500
17200 -1.310811 0.045828 0.0500
17300 -1.327245 0.040651 0.0500
17400 -1.329514 0.039742 0.0500
17500 -1.311431 0.044080 0.0500
17600 -1.300859 0.047797 0.0500
17700 -1.308467 0.044023 0.0500
17800 -1.318617 0.040318 0.0500
17900 -1.313496 0.041319 0.0500
18000 -1.295167 0.048357 0.0500
18100 -1.283039 0.055028 0.0500
18200 -1.279024 0.057066 0.0500
18300 -1.283191 0.053231 0.0500
18400 -1.281498 0.053585 0.0500
18500 -1.272352 0.059691 0.0500
18600 -1.273735 0.057585 0.0500
18700 -1.282805 0.050274 0.0500
18800 -1.278408 0.052457 0.0500
18900 -1.252660 0.075593 0.0500
19000 -1.236428 0.095739 0.0500
19100 -1.239412 0.088930 0.0500
19200 -1.243423 0.081418 0.0500
19300 -1.242321 0.080985 0.0500
19400 -1.242674 0.078731 0.0500
19500 -1.247038 0.071911 0.0500
19600 -1.246388 0.071200 0.0500
19700 -1.242534 0.074170 0.0500
19800 -1.246438 0.068315 0.0500
19900 -1.253079 0.060549 0.0500
20000 -1.249644 0.062712 0.0500
20100 -1.236997 0.075372 0.0500
20200 -1.229108 0.084067 0.0500
20300 -1.227284 0.084637 0.0500
20400 -1.227524 0.082329 0.0500
20500 -1.224129 0.085126 0.0500
20600 -1.226332 0.080137 0.0500
20700 -1.235364 0.067593 0.0500
20800 -1.245385 0.056793 0.0500
20900 -1.245997 0.055394 0.0500
21000 -1.228975 0.071465 0.0500
21100 -1.216649 0.086401 0.0500
21200 -1.227501 0.070131 0.0500
21300 -1.247578 0.050361 0.0500
21400 -1.256730 0.044070 0.0500
21500 -1.252291 0.046029 0.0500
21600 -1.249900 0.046908 0.0500
21700 -1.259926 0.040869 0.0500
21800 -1.269383 0.036697 0.0500
21900 -1.266079 0.037475 0.0500
22000 -1.243015 0.049604 0.0500
22100 -1.213865 0.080913 0.0500
22200 -1.216082 0.075959 0.0500
22300 -1.237962 0.050906 0.0500
22400 -1.261189 0.036964 0.0500
22500 -1.265011 0.035237 0.0500
22600 -1.248045 0.042438 0.0500
22700 -1.228263 0.057408 0.0500
22800 -1.234583 0.050684 0.0500
22900 -1.241516 0.044757 0.0500
23000 -1.223229 0.060296 0.0500
23100 -1.214099 0.070445 0.0500
23200 -1.229312 0.052138 0.0500
23300 -1.246749 0.039183 0.0500
23400 -1.254860 0.035096 0.0500
23500 -1.256346 0.034198 0.0500
23600 -1.263347 0.031673 0.0500
23700 -1.286958 0.027686 0.0500
23800 -1.307380 0.027191 0.0500
23900 -1.314017 0.027262 0.0500
24000 -1.311646 0.026940 0.0500
24100 -1.318035 0.027087 0.0500
24200 -1.332190 0.028055 0.0500
24300 -1.339605 0.028616 0.0500
24400 -1.338955 0.028316 0.0500
24500 -1.336354 0.027817 0.0500
24600 -1.348257 0.028935 0.0500
