# step t_ps cv bias_e
0 0.0000 -1.462384 0.000000
10 0.0050 -1.463184 0.000000
20 0.0100 -1.464034 0.000000
30 0.0150 -1.464964 0.000000
40 0.0200 -1.465908 0.000000
50 0.0250 -1.466903 0.000000
60 0.0300 -1.467925 0.000000
70 0.0350 -1.468942 0.000000
80 0.0400 -1.469863 0.000000
90 0.0450 -1.470648 0.000000
100 0.0500 -1.471443 0.000000
110 0.0550 -1.472133 0.000000
120 0.0600 -1.472639 0.000000
130 0.0650 -1.472984 0.000000
140 0.0700 -1.473342 0.000000
150 0.0750 -1.473399 0.000000
160 0.0800 -1.473245 0.000000
170 0.0850 -1.473045 0.000000
180 0.0900 -1.472679 0.000000
190 0.0950 -1.472207 0.000000
200 0.1000 -1.471791 0.000000
210 0.1050 -1.471356 0.000000
220 0.1100 -1.470860 0.000000
230 0.1150 -1.470162 0.000000
240 0.1200 -1.469399 0.000000
250 0.1250 -1.468707 0.000000
260 0.1300 -1.468077 0.000000
270 0.1350 -1.467421 0.000000
280 0.1400 -1.466678 0.000000
290 0.1450 -1.466003 0.000000
300 0.1500 -1.465287 0.000000
310 0.1550 -1.464554 0.000000
320 0.1600 -1.463742 0.000000
330 0.1650 -1.463040 0.000000
340 0.1700 -1.462311 0.000000
350 0.1750 -1.461434 0.000000
360 0.1800 -1.460508 0.000000
370 0.1850 -1.459465 0.000000
380 0.1900 -1.458269 0.000000
390 0.1950 -1.457070 0.000000
400 0.2000 -1.455837 0.000000
410 0.2050 -1.454405 0.000000
420 0.2100 -1.452779 0.000000
430 0.2150 -1.451389 0.000000
440 0.2200 -1.449974 0.000000
450 0.2250 -1.448561 0.000000
460 0.2300 -1.447237 0.000000
470 0.2350 -1.446170 0.000000
480 0.2400 -1.445085 0.000000
490 0.2450 -1.443985 0.000000
500 0.2500 -1.443019 0.000000
510 0.2550 -1.442511 0.000056
520 0.2600 -1.442240 0.000086
530 0.2650 -1.441997 0.000115
540 0.2700 -1.441854 0.000132
550 0.2750 -1.441800 0.000138
560 0.2800 -1.441547 0.000169
570 0.2850 -1.441482 0.000177
580 0.2900 -1.441572 0.000166
590 0.2950 -1.441879 0.000129
600 0.3000 -1.442437 0.000064
610 0.3050 -1.442957 0.000007
620 0.3100 -1.443503 0.000000
630 0.3150 -1.443871 0.000000
640 0.3200 -1.444234 0.000000
650 0.3250 -1.444688 0.000000
660 0.3300 -1.445080 0.000000
670 0.3350 -1.445462 0.000000
680 0.3400 -1.445852 0.000000
690 0.3450 -1.446291 0.000000
700 0.3500 -1.446642 0.000000
710 0.3550 -1.446847 0.000000
720 0.3600 -1.447077 0.000000
730 0.3650 -1.447311 0.000000
740 0.3700 -1.447685 0.000000
750 0.3750 -1.448121 0.000000
760 0.3800 -1.448320 0.000000
770 0.3850 -1.448521 0.000000
780 0.3900 -1.448650 0.000000
790 0.3950 -1.448583 0.000000
800 0.4000 -1.448811 0.000000
810 0.4050 -1.449406 0.000000
820 0.4100 -1.450083 0.000000
830 0.4150 -1.450868 0.000000
840 0.4200 -1.451675 0.000000
850 0.4250 -1.452533 0.000000
860 0.4300 -1.453323 0.000000
870 0.4350 -1.453976 0.000000
880 0.4400 -1.454313 0.000000
890 0.4450 -1.454458 0.000000
900 0.4500 -1.454554 0.000000
910 0.4550 -1.454568 0.000000
920 0.4600 -1.454698 0.000000
930 0.4650 -1.454599 0.000000
940 0.4700 -1.454390 0.000000
950 0.4750 -1.454094 0.000000
960 0.4800 -1.453826 0.000000
970 0.4850 -1.453752 0.000000
980 0.4900 -1.453515 0.000000
990 0.4950 -1.453302 0.000000
1000 0.5000 -1.453049 0.000000
1010 0.5050 -1.452845 0.000000
1020 0.5100 -1.452435 0.000001
1030 0.5150 -1.451943 0.000004
1040 0.5200 -1.451333 0.000012
1050 0.5250 -1.450953 0.000019
1060 0.5300 -1.450588 0.000027
1070 0.5350 -1.450227 0.000037
1080 0.5400 -1.449990 0.000044
1090 0.5450 -1.449645 0.000055
1100 0.5500 -1.449077 0.000077
1110 0.5550 -1.448568 0.000099
1120 0.5600 -1.448181 0.000118
1130 0.5650 -1.447811 0.000138
1140 0.5700 -1.447541 0.000153
1150 0.5750 -1.447231 0.000172
1160 0.5800 -1.446759 0.000202
1170 0.5850 -1.446178 0.000243
1180 0.5900 -1.445674 0.000281
1190 0.5950 -1.445225 0.000317
1200 0.6000 -1.444798 0.000354
1210 0.6050 -1.444542 0.000377
1220 0.6100 -1.444477 0.000383
1230 0.6150 -1.444492 0.000382
1240 0.6200 -1.444555 0.000376
1250 0.6250 -1.444849 0.000350
1260 0.6300 -1.445158 0.000323
1270 0.6350 -1.445488 0.000296
1280 0.6400 -1.445859 0.000267
1290 0.6450 -1.446312 0.000233
1300 0.6500 -1.446725 0.000204
1310 0.6550 -1.447424 0.000160
1320 0.6600 -1.448203 0.000117
1330 0.6650 -1.449086 0.000076
1340 0.6700 -1.450070 0.000041
1350 0.6750 -1.450928 0.000019
1360 0.6800 -1.451653 0.000007
1370 0.6850 -1.452317 0.000001
1380 0.6900 -1.452888 0.000000
1390 0.6950 -1.453417 0.000002
1400 0.7000 -1.453784 0.000005
1410 0.7050 -1.453965 0.000007
1420 0.7100 -1.453940 0.000007
1430 0.7150 -1.453867 0.000006
1440 0.7200 -1.453536 0.000003
1450 0.7250 -1.453091 0.000000
1460 0.7300 -1.452483 0.000000
1470 0.7350 -1.451892 0.000004
1480 0.7400 -1.451351 0.000012
1490 0.7450 -1.450820 0.000022
1500 0.7500 -1.450432 0.000031
1510 0.7550 -1.450246 0.000018
1520 0.7600 -1.450069 0.000022
1530 0.7650 -1.449882 0.000026
1540 0.7700 -1.449656 0.000032
1550 0.7750 -1.449444 0.000039
1560 0.7800 -1.448953 0.000055
1570 0.7850 -1.448521 0.000072
1580 0.7900 -1.448061 0.000092
1590 0.7950 -1.447628 0.000112
1600 0.8000 -1.447302 0.000130
1610 0.8050 -1.447069 0.000142
1620 0.8100 -1.446855 0.000155
1630 0.8150 -1.446839 0.000156
1640 0.8200 -1.446758 0.000161
1650 0.8250 -1.446510 0.000176
1660 0.8300 -1.446259 0.000192
1670 0.8350 -1.446184 0.000197
1680 0.8400 -1.446175 0.000198
1690 0.8450 -1.446247 0.000193
1700 0.8500 -1.446462 0.000179
1710 0.8550 -1.446772 0.000160
1720 0.8600 -1.447208 0.000135
1730 0.8650 -1.447703 0.000109
1740 0.8700 -1.448198 0.000085
1750 0.8750 -1.448802 0.000061
1760 0.8800 -1.449442 0.000039
1770 0.8850 -1.450061 0.000022
1780 0.8900 -1.450802 0.000007
1790 0.8950 -1.451493 0.000000
1800 0.9000 -1.452273 0.000000
1810 0.9050 -1.453191 0.000001
1820 0.9100 -1.454353 0.000021
1830 0.9150 -1.455440 0.000053
1840 0.9200 -1.456627 0.000103
1850 0.9250 -1.457717 0.000163
1860 0.9300 -1.458759 0.000232
1870 0.9350 -1.459870 0.000319
1880 0.9400 -1.461018 0.000423
1890 0.9450 -1.462207 0.000546
1900 0.9500 -1.463296 0.000672
1910 0.9550 -1.464339 0.000806
1920 0.9600 -1.465206 0.000926
1930 0.9650 -1.465909 0.001029
1940 0.9700 -1.466810 0.001169
1950 0.9750 -1.467951 0.001360
1960 0.9800 -1.469276 0.001600
1970 0.9850 -1.470801 0.001899
1980 0.9900 -1.472244 0.002206
1990 0.9950 -1.473579 0.002511
2000 1.0000 -1.474603 0.002758
2010 1.0050 -1.475314 0.001836
2020 1.0100 -1.475918 0.001961
2030 1.0150 -1.476414 0.002068
2040 1.0200 -1.476756 0.002143
2050 1.0250 -1.476890 0.002172
2060 1.0300 -1.476669 0.002123
2070 1.0350 -1.476333 0.002050
2080 1.0400 -1.475844 0.001946
2090 1.0450 -1.475442 0.001862
2100 1.0500 -1.475195 0.001811
2110 1.0550 -1.474851 0.001742
2120 1.0600 -1.474339 0.001641
2130 1.0650 -1.473641 0.001508
2140 1.0700 -1.473164 0.001420
2150 1.0750 -1.472722 0.001341
2160 1.0800 -1.472241 0.001258
2170 1.0850 -1.471230 0.001090
2180 1.0900 -1.470322 0.000950
2190 1.0950 -1.469487 0.000828
2200 1.1000 -1.468426 0.000685
2210 1.1050 -1.467441 0.000563
2220 1.1100 -1.466428 0.000449
2230 1.1150 -1.465468 0.000351
2240 1.1200 -1.464724 0.000282
2250 1.1250 -1.463955 0.000218
2260 1.1300 -1.463132 0.000155
2270 1.1350 -1.462273 0.000099
2280 1.1400 -1.461519 0.000055
2290 1.1450 -1.460760 0.000018
2300 1.1500 -1.459866 0.000000
2310 1.1550 -1.458926 0.000000
2320 1.1600 -1.457924 0.000000
2330 1.1650 -1.456929 0.000000
2340 1.1700 -1.455908 0.000000
2350 1.1750 -1.454679 0.000000
2360 1.1800 -1.453484 0.000000
2370 1.1850 -1.452297 0.000033
2380 1.1900 -1.451100 0.000099
2390 1.1950 -1.450093 0.000167
2400 1.2000 -1.449161 0.000239
2410 1.2050 -1.448420 0.000303
2420 1.2100 -1.447840 0.000358
2430 1.2150 -1.447312 0.000411
2440 1.2200 -1.446635 0.000483
2450 1.2250 -1.446044 0.000551
2460 1.2300 -1.445660 0.000596
2470 1.2350 -1.445302 0.000641
2480 1.2400 -1.444920 0.000689
2490 1.2450 -1.444583 0.000734
2500 1.2500 -1.444462 0.000750
2510 1.2550 -1.444493 0.000553
2520 1.2600 -1.444349 0.000569
2530 1.2650 -1.444260 0.000580
2540 1.2700 -1.444267 0.000579
2550 1.2750 -1.444393 0.000564
2560 1.2800 -1.444581 0.000543
2570 1.2850 -1.444458 0.000557
2580 1.2900 -1.444316 0.000573
2590 1.2950 -1.444214 0.000585
2600 1.3000 -1.443973 0.000613
2610 1.3050 -1.443753 0.000639
2620 1.3100 -1.443543 0.000664
2630 1.3150 -1.443327 0.000691
2640 1.3200 -1.443079 0.000722
2650 1.3250 -1.442843 0.000753
2660 1.3300 -1.442913 0.000743
2670 1.3350 -1.443150 0.000713
2680 1.3400 -1.443467 0.000674
2690 1.3450 -1.443959 0.000614
2700 1.3500 -1.444262 0.000579
2710 1.3550 -1.444292 0.000576
2720 1.3600 -1.444249 0.000581
2730 1.3650 -1.444093 0.000599
2740 1.3700 -1.443703 0.000645
2750 1.3750 -1.443512 0.000668
2760 1.3800 -1.443129 0.000716
2770 1.3850 -1.442790 0.000759
2780 1.3900 -1.442572 0.000788
2790 1.3950 -1.442297 0.000825
2800 1.4000 -1.442125 0.000849
2810 1.4050 -1.441931 0.000876
2820 1.4100 -1.441797 0.000894
2830 1.4150 -1.441342 0.000960
2840 1.4200 -1.440679 0.001059
2850 1.4250 -1.439917 0.001180
2860 1.4300 -1.439423 0.001261
2870 1.4350 -1.438877 0.001354
2880 1.4400 -1.438278 0.001460
2890 1.4450 -1.437508 0.001602
2900 1.4500 -1.436785 0.001741
2910 1.4550 -1.436240 0.001850
2920 1.4600 -1.435773 0.001946
2930 1.4650 -1.435381 0.002028
2940 1.4700 -1.435156 0.002076
2950 1.4750 -1.435213 0.002064
2960 1.4800 -1.435545 0.001994
2970 1.4850 -1.435953 0.001909
2980 1.4900 -1.436453 0.001807
2990 1.4950 -1.436950 0.001709
3000 1.5000 -1.437432 0.001617
3010 1.5050 -1.437975 0.001106
3020 1.5100 -1.438399 0.001041
3030 1.5150 -1.438862 0.000972
3040 1.5200 -1.439446 0.000888
3050 1.5250 -1.440111 0.000797
3060 1.5300 -1.440772 0.000712
3070 1.5350 -1.441235 0.000655
3080 1.5400 -1.441634 0.000608
3090 1.5450 -1.442032 0.000563
3100 1.5500 -1.442397 0.000523
3110 1.5550 -1.442812 0.000479
3120 1.5600 -1.443262 0.000434
3130 1.5650 -1.443611 0.000400
3140 1.5700 -1.443857 0.000377
3150 1.5750 -1.444075 0.000357
