# step t_ps cv bias_e
0 0.0000 -1.462384 0.000000
10 0.0050 -1.463388 0.000000
20 0.0100 -1.464606 0.000000
30 0.0150 -1.465936 0.000000
40 0.0200 -1.467222 0.000000
50 0.0250 -1.468411 0.000000
60 0.0300 -1.469550 0.000000
70 0.0350 -1.470669 0.000000
80 0.0400 -1.471837 0.000000
90 0.0450 -1.472916 0.000000
100 0.0500 -1.473806 0.000000
110 0.0550 -1.474656 0.000000
120 0.0600 -1.475575 0.000000
130 0.0650 -1.476325 0.000000
140 0.0700 -1.476906 0.000000
150 0.0750 -1.477321 0.000000
160 0.0800 -1.477499 0.000000
170 0.0850 -1.477404 0.000000
180 0.0900 -1.477138 0.000000
190 0.0950 -1.476653 0.000000
200 0.1000 -1.475944 0.000000
210 0.1050 -1.475064 0.000000
220 0.1100 -1.473884 0.000000
230 0.1150 -1.472291 0.000000
240 0.1200 -1.470503 0.000000
250 0.1250 -1.468456 0.000000
260 0.1300 -1.466283 0.000000
270 0.1350 -1.463849 0.000000
280 0.1400 -1.461477 0.000000
290 0.1450 -1.459256 0.000000
300 0.1500 -1.457349 0.000000
310 0.1550 -1.455512 0.000000
320 0.1600 -1.453425 0.000000
330 0.1650 -1.451270 0.000000
340 0.1700 -1.449235 0.000000
350 0.1750 -1.447259 0.000000
360 0.1800 -1.445507 0.000000
370 0.1850 -1.443949 0.000000
380 0.1900 -1.442511 0.000000
390 0.1950 -1.440993 0.000000
400 0.2000 -1.439288 0.000000
410 0.2050 -1.437369 0.000000
420 0.2100 -1.435402 0.000000
430 0.2150 -1.433554 0.000000
440 0.2200 -1.431797 0.000000
450 0.2250 -1.430139 0.000000
460 0.2300 -1.428572 0.000000
470 0.2350 -1.427060 0.000000
480 0.2400 -1.425573 0.000000
490 0.2450 -1.424209 0.000000
500 0.2500 -1.422856 0.000000
510 0.2550 -1.421614 0.000452
520 0.2600 -1.420698 0.000802
530 0.2650 -1.419931 0.001107
540 0.2700 -1.419520 0.001275
550 0.2750 -1.419479 0.001292
560 0.2800 -1.419506 0.001281
570 0.2850 -1.419604 0.001241
580 0.2900 -1.419834 0.001147
590 0.2950 -1.420303 0.000958
600 0.3000 -1.421151 0.000627
610 0.3050 -1.422099 0.000272
620 0.3100 -1.422988 0.000000
630 0.3150 -1.423941 0.000000
640 0.3200 -1.424933 0.000000
650 0.3250 -1.426037 0.000000
660 0.3300 -1.427233 0.000000
670 0.3350 -1.428387 0.000000
680 0.3400 -1.429494 0.000000
690 0.3450 -1.430593 0.000000
700 0.3500 -1.431580 0.000000
710 0.3550 -1.432353 0.000000
720 0.3600 -1.432979 0.000000
730 0.3650 -1.433642 0.000000
740 0.3700 -1.434383 0.000000
750 0.3750 -1.435367 0.000000
760 0.3800 -1.436285 0.000000
770 0.3850 -1.437275 0.000000
780 0.3900 -1.438299 0.000000
