# step t_ps cv bias_e
0 0.0000 2.007862 0.000000
10 0.0050 2.007614 0.239003
20 0.0100 2.007600 0.239003
30 0.0150 2.007877 0.239006
40 0.0200 2.008432 0.238990
50 0.0250 2.009212 0.238919
60 0.0300 2.010254 0.238733
70 0.0350 2.011548 0.238358
80 0.0400 2.013127 0.237685
90 0.0450 2.014965 0.236607
100 0.0500 2.017064 0.234992
110 0.0550 2.019441 0.456239
120 0.0600 2.021998 0.452366
130 0.0650 2.024710 0.447024
140 0.0700 2.027483 0.440297
150 0.0750 2.030265 0.432322
160 0.0800 2.032958 0.423504
170 0.0850 2.035396 0.414642
180 0.0900 2.037413 0.406729
190 0.0950 2.038677 0.401512
200 0.1000 2.038930 0.400449
210 0.1050 2.037871 0.618502
220 0.1100 2.035062 0.628959
230 0.1150 2.030080 0.643263
240 0.1200 2.022526 0.653920
250 0.1250 2.012043 0.645781
260 0.1300 1.998451 0.597615
270 0.1350 1.981792 0.494361
280 0.1400 1.962267 0.346428
290 0.1450 1.940136 0.194366
300 0.1500 1.915887 0.083251
310 0.1550 1.890045 0.230619
320 0.1600 1.863003 0.139445
330 0.1650 1.835241 0.064562
340 0.1700 1.807045 0.021956
350 0.1750 1.778735 0.005435
360 0.1800 1.750586 0.000989
370 0.1850 1.722683 0.000134
380 0.1900 1.695153 0.000014
390 0.1950 1.667994 0.000001
400 0.2000 1.641278 0.000000
410 0.2050 1.615017 0.208212
420 0.2100 1.589236 0.139047
430 0.2150 1.563917 0.072206
440 0.2200 1.538952 0.029440
450 0.2250 1.514352 0.009530
460 0.2300 1.490024 0.002462
470 0.2350 1.465881 0.000508
480 0.2400 1.441908 0.000084
490 0.2450 1.418046 0.000011
500 0.2500 1.394189 0.000001
510 0.2550 1.370280 0.213184
520 0.2600 1.346146 0.150635
530 0.2650 1.321718 0.083603
540 0.2700 1.296815 0.035879
550 0.2750 1.271235 0.011623
560 0.2800 1.244770 0.002749
570 0.2850 1.217206 0.000455
580 0.2900 1.188275 0.000050
590 0.2950 1.157911 0.000003
600 0.3000 1.125909 0.000000
610 0.3050 1.092152 0.190298
620 0.3100 1.056736 0.091792
630 0.3150 1.019894 0.025247
640 0.3200 0.982076 0.003815
650 0.3250 0.943705 0.000313
660 0.3300 0.905554 0.000014
670 0.3350 0.868477 0.000000
680 0.3400 0.833545 0.000000
690 0.3450 0.801781 0.000000
700 0.3500 0.774192 0.000000
710 0.3550 0.751396 0.215412
720 0.3600 0.733823 0.172526
730 0.3650 0.721561 0.137343
740 0.3700 0.714174 0.116287
750 0.3750 0.711072 0.107733
760 0.3800 0.711471 0.108822
770 0.3850 0.714638 0.117584
780 0.3900 0.719621 0.131746
790 0.3950 0.725697 0.149327
800 0.4000 0.732456 0.168697
810 0.4050 0.739513 0.413646
820 0.4100 0.746619 0.424322
830 0.4150 0.753552 0.428064
840 0.4200 0.760269 0.425231
850 0.4250 0.766766 0.416552
860 0.4300 0.773083 0.402840
870 0.4350 0.779161 0.385214
880 0.4400 0.785056 0.364531
890 0.4450 0.790865 0.341318
900 0.4500 0.796650 0.316069
910 0.4550 0.802386 0.506973
920 0.4600 0.808180 0.475178
930 0.4650 0.814024 0.440255
940 0.4700 0.819980 0.402639
950 0.4750 0.826062 0.363107
960 0.4800 0.832270 0.322586
970 0.4850 0.838609 0.282028
980 0.4900 0.845061 0.242508
990 0.4950 0.851678 0.204619
1000 0.5000 0.858383 0.169571
1010 0.5050 0.865205 0.363616
1020 0.5100 0.872191 0.328903
1030 0.5150 0.879148 0.294682
1040 0.5200 0.885964 0.261844
1050 0.5250 0.892462 0.231520
1060 0.5300 0.898515 0.204421
1070 0.5350 0.903986 0.181094
1080 0.5400 0.908713 0.161975
1090 0.5450 0.912563 0.147182
1100 0.5500 0.915319 0.137048
1110 0.5550 0.916827 0.361589
1120 0.5600 0.916924 0.361233
1130 0.5650 0.915525 0.366329
1140 0.5700 0.912474 0.377164
1150 0.5750 0.907710 0.393320
1160 0.5800 0.901092 0.414178
1170 0.5850 0.892672 0.438155
1180 0.5900 0.882542 0.463768
1190 0.5950 0.870773 0.490603
1200 0.6000 0.857491 0.519769
1210 0.6050 0.842766 0.751578
1220 0.6100 0.826803 0.764176
1230 0.6150 0.809631 0.763798
1240 0.6200 0.791247 0.746283
1250 0.6250 0.771718 0.701362
1260 0.6300 0.750955 0.616607
1270 0.6350 0.728727 0.488013
1280 0.6400 0.704992 0.332627
1290 0.6450 0.679669 0.185540
1300 0.6500 0.652654 0.079805
1310 0.6550 0.623952 0.223057
1320 0.6600 0.593637 0.121703
1330 0.6650 0.561761 0.045489
1340 0.6700 0.528569 0.010806
1350 0.6750 0.494251 0.001549
1360 0.6800 0.459012 0.000129
1370 0.6850 0.423168 0.000006
1380 0.6900 0.386858 0.000000
1390 0.6950 0.350259 0.000000
1400 0.7000 0.313590 0.000000
1410 0.7050 0.277046 0.182983
1420 0.7100 0.240816 0.082871
1430 0.7150 0.205156 0.022757
1440 0.7200 0.170125 0.003896
1450 0.7250 0.135847 0.000431
1460 0.7300 0.102508 0.000032
1470 0.7350 0.070255 0.000002
1480 0.7400 0.039232 0.000000
1490 0.7450 0.009593 0.000000
1500 0.7500 -0.018631 0.000000
