# step t_ps cv bias_e
0 0.0000 -1.455586 0.000000
10 0.0050 -1.454871 0.238982
20 0.0100 -1.454255 0.238921
30 0.0150 -1.453704 0.238837
40 0.0200 -1.453072 0.238704
50 0.0250 -1.452514 0.238555
60 0.0300 -1.452101 0.238426
70 0.0350 -1.451799 0.238322
80 0.0400 -1.451420 0.238178
90 0.0450 -1.451159 0.238071
100 0.0500 -1.450824 0.237924
110 0.0550 -1.450698 0.461492
120 0.0600 -1.450776 0.461528
130 0.0650 -1.450861 0.461567
140 0.0700 -1.451197 0.461706
150 0.0750 -1.451719 0.461882
160 0.0800 -1.452415 0.462038
170 0.0850 -1.453180 0.462107
180 0.0900 -1.453974 0.462064
190 0.0950 -1.454756 0.461908
200 0.1000 -1.455459 0.461672
210 0.1050 -1.455951 0.671508
220 0.1100 -1.456374 0.671259
230 0.1150 -1.456654 0.671068
240 0.1200 -1.456935 0.670854
250 0.1250 -1.457147 0.670680
260 0.1300 -1.457024 0.670782
270 0.1350 -1.456801 0.670959
280 0.1400 -1.456543 0.671146
290 0.1450 -1.456168 0.671386
300 0.1500 -1.455571 0.671691
310 0.1550 -1.454807 0.870006
320 0.1600 -1.454017 0.870028
330 0.1650 -1.452996 0.869736
340 0.1700 -1.452040 0.869134
350 0.1750 -1.451088 0.868221
360 0.1800 -1.450027 0.866834
370 0.1850 -1.448857 0.864856
380 0.1900 -1.447684 0.862405
390 0.1950 -1.446418 0.859237
400 0.2000 -1.445234 0.855788
410 0.2050 -1.443980 1.039724
420 0.2100 -1.442821 1.035267
430 0.2150 -1.441609 1.030036
440 0.2200 -1.440437 1.024437
450 0.2250 -1.439285 1.018420
460 0.2300 -1.438024 1.011261
470 0.2350 -1.436785 1.003663
480 0.2400 -1.435478 0.995045
490 0.2450 -1.433989 0.984504
500 0.2500 -1.432591 0.973933
510 0.2550 -1.431285 1.145456
520 0.2600 -1.429951 1.134032
530 0.2650 -1.428779 1.123448
540 0.2700 -1.427658 1.112868
550 0.2750 -1.426631 1.102784
560 0.2800 -1.425705 1.093384
570 0.2850 -1.424962 1.085641
580 0.2900 -1.424347 1.079097
590 0.2950 -1.424030 1.075682
600 0.3000 -1.423933 1.074624
610 0.3050 -1.424095 1.253359
620 0.3100 -1.424421 1.256865
630 0.3150 -1.424854 1.261458
640 0.3200 -1.425466 1.267817
650 0.3250 -1.426407 1.277307
660 0.3300 -1.427518 1.288046
670 0.3350 -1.428715 1.299038
680 0.3400 -1.429842 1.308826
690 0.3450 -1.430936 1.317790
700 0.3500 -1.432123 1.326901
710 0.3550 -1.433609 1.502255
720 0.3600 -1.435353 1.512967
730 0.3650 -1.437354 1.523189
740 0.3700 -1.439463 1.531522
750 0.3750 -1.441607 1.537386
760 0.3800 -1.443656 1.540503
770 0.3850 -1.445882 1.541116
780 0.3900 -1.448224 1.538639
790 0.3950 -1.450619 1.532812
800 0.4000 -1.453132 1.523152
810 0.4050 -1.455761 1.665150
820 0.4100 -1.458524 1.645755
830 0.4150 -1.461550 1.619356
840 0.4200 -1.464661 1.586875
850 0.4250 -1.468014 1.546184
860 0.4300 -1.471506 1.498073
870 0.4350 -1.475100 1.443069
880 0.4400 -1.478817 1.381131
890 0.4450 -1.482388 1.317540
900 0.4500 -1.485977 1.250426
910 0.4550 -1.489522 1.349817
920 0.4600 -1.493060 1.278411
930 0.4650 -1.496831 1.200510
940 0.4700 -1.500658 1.120424
950 0.4750 -1.504661 1.036519
960 0.4800 -1.508803 0.950533
970 0.4850 -1.513035 0.864563
980 0.4900 -1.517103 0.784523
990 0.4950 -1.520982 0.711196
1000 0.5000 -1.524802 0.642310
1010 0.5050 -1.528445 0.779212
1020 0.5100 -1.531932 0.721462
1030 0.5150 -1.535185 0.669824
1040 0.5200 -1.538302 0.622464
1050 0.5250 -1.541366 0.577997
1060 0.5300 -1.544253 0.538032
1070 0.5350 -1.546931 0.502636
1080 0.5400 -1.549464 0.470647
1090 0.5450 -1.551616 0.444604
1100 0.5500 -1.553465 0.423062
1110 0.5550 -1.555001 0.617988
1120 0.5600 -1.556474 0.601582
1130 0.5650 -1.557812 0.586925
1140 0.5700 -1.559055 0.573524
1150 0.5750 -1.560137 0.562014
1160 0.5800 -1.560875 0.554257
1170 0.5850 -1.561503 0.547700
1180 0.5900 -1.562032 0.542227
1190 0.5950 -1.562492 0.537492
1200 0.6000 -1.562751 0.534835
1210 0.6050 -1.562751 0.740648
1220 0.6100 -1.562467 0.743551
1230 0.6150 -1.561898 0.749395
1240 0.6200 -1.561209 0.756483
1250 0.6250 -1.560391 0.764924
1260 0.6300 -1.559369 0.775512
1270 0.6350 -1.557918 0.790627
1280 0.6400 -1.556136 0.809339
1290 0.6450 -1.554126 0.830644
1300 0.6500 -1.551925 0.854242
1310 0.6550 -1.549606 1.067456
1320 0.6600 -1.546985 1.095654
1330 0.6650 -1.544053 1.127175
1340 0.6700 -1.541155 1.158401
1350 0.6750 -1.538168 1.190715
1360 0.6800 -1.535069 1.224485
1370 0.6850 -1.531857 1.259815
1380 0.6900 -1.528542 1.296711
1390 0.6950 -1.525076 1.335856
1400 0.7000 -1.521492 1.376984
1410 0.7050 -1.517915 1.580925
1420 0.7100 -1.514378 1.621572
1430 0.7150 -1.510647 1.664144
1440 0.7200 -1.506680 1.708926
1450 0.7250 -1.502434 1.755985
1460 0.7300 -1.497863 1.805160
1470 0.7350 -1.493193 1.853121
1480 0.7400 -1.488421 1.898834
1490 0.7450 -1.483376 1.942368
1500 0.7500 -1.478173 1.980661
1510 0.7550 -1.472921 2.147576
1520 0.7600 -1.467561 2.165879
1530 0.7650 -1.462134 2.170729
1540 0.7700 -1.456772 2.160812
1550 0.7750 -1.451381 2.135300
1560 0.7800 -1.446181 2.095575
1570 0.7850 -1.441040 2.041847
1580 0.7900 -1.435867 1.973810
1590 0.7950 -1.430561 1.890514
1600 0.8000 -1.425399 1.797735
1610 0.8050 -1.420232 1.838816
1620 0.8100 -1.414926 1.722696
1630 0.8150 -1.409651 1.599758
1640 0.8200 -1.404571 1.476617
1650 0.8250 -1.399594 1.353605
1660 0.8300 -1.394369 1.224220
1670 0.8350 -1.389180 1.097650
1680 0.8400 -1.384152 0.978663
1690 0.8450 -1.379423 0.871448
1700 0.8500 -1.374908 0.774285
1710 0.8550 -1.370548 0.877784
1720 0.8600 -1.366177 0.793061
1730 0.8650 -1.361834 0.713735
1740 0.8700 -1.357548 0.640424
1750 0.8750 -1.353251 0.572024
1760 0.8800 -1.349201 0.512265
1770 0.8850 -1.345353 0.459686
1780 0.8900 -1.341764 0.414279
1790 0.8950 -1.338356 0.374323
1800 0.9000 -1.335150 0.339449
1810 0.9050 -1.332416 0.528765
1820 0.9100 -1.329876 0.503729
1830 0.9150 -1.327747 0.483458
1840 0.9200 -1.325799 0.465478
1850 0.9250 -1.324347 0.452407
1860 0.9300 -1.323453 0.444489
1870 0.9350 -1.322920 0.439821
1880 0.9400 -1.322585 0.436907
1890 0.9450 -1.322708 0.437977
1900 0.9500 -1.323243 0.442648
1910 0.9550 -1.324230 0.662511
1920 0.9600 -1.325516 0.673879
1930 0.9650 -1.327160 0.688530
1940 0.9700 -1.329317 0.707974
1950 0.9750 -1.331920 0.731822
1960 0.9800 -1.334740 0.758207
1970 0.9850 -1.337921 0.788746
1980 0.9900 -1.341297 0.822219
1990 0.9950 -1.344851 0.858802
2000 1.0000 -1.348647 0.899652
2010 1.0050 -1.352685 1.130632
2020 1.0100 -1.356915 1.179417
2030 1.0150 -1.361460 1.233948
2040 1.0200 -1.366120 1.292485
2050 1.0250 -1.370945 1.356176
2060 1.0300 -1.375933 1.425504
2070 1.0350 -1.380870 1.497620
2080 1.0400 -1.385586 1.569512
2090 1.0450 -1.390281 1.643567
2100 1.0500 -1.394822 1.716983
2110 1.0550 -1.399336 1.938198
2120 1.0600 -1.403730 2.008483
2130 1.0650 -1.408131 2.076883
2140 1.0700 -1.412537 2.142352
2150 1.0750 -1.416983 2.204329
2160 1.0800 -1.421115 2.257302
2170 1.0850 -1.425199 2.304482
2180 1.0900 -1.429224 2.345214
2190 1.0950 -1.433228 2.379425
2200 1.1000 -1.437293 2.407198
2210 1.1050 -1.441280 2.548770
2220 1.1100 -1.445034 2.559765
2230 1.1150 -1.448646 2.563385
2240 1.1200 -1.452259 2.560193
2250 1.1250 -1.455851 2.550373
2260 1.1300 -1.459229 2.535272
2270 1.1350 -1.462566 2.515012
2280 1.1400 -1.465915 2.489637
2290 1.1450 -1.469315 2.459072
2300 1.1500 -1.472636 2.424917
2310 1.1550 -1.476060 2.506772
2320 1.1600 -1.479414 2.464055
2330 1.1650 -1.482749 2.418100
2340 1.1700 -1.486084 2.369156
2350 1.1750 -1.489325 2.319158
2360 1.1800 -1.492469 2.268769
2370 1.1850 -1.495518 2.218475
2380 1.1900 -1.498676 2.165241
2390 1.1950 -1.501762 2.112431
2400 1.2000 -1.504935 2.057574
2410 1.2050 -1.508040 2.137795
2420 1.2100 -1.511024 2.085129
2430 1.2150 -1.513795 2.035876
2440 1.2200 -1.516502 1.987569
2450 1.2250 -1.519090 1.941284
2460 1.2300 -1.521520 1.897769
2470 1.2350 -1.523753 1.857821
2480 1.2400 -1.526047 1.816801
2490 1.2450 -1.528244 1.777587
2500 1.2500 -1.530247 1.741886
2510 1.2550 -1.532036 1.856841
2520 1.2600 -1.533883 1.823771
2530 1.2650 -1.535773 1.789792
2540 1.2700 -1.537385 1.760708
2550 1.2750 -1.538838 1.734433
2560 1.2800 -1.540206 1.709607
2570 1.2850 -1.541292 1.689855
2580 1.2900 -1.541896 1.678858
2590 1.2950 -1.542216 1.673041
2600 1.3000 -1.542285 1.671784
2610 1.3050 -1.542137 1.824248
2620 1.3100 -1.541897 1.828620
2630 1.3150 -1.541454 1.836670
2640 1.3200 -1.540847 1.847670
2650 1.3250 -1.540042 1.862203
2660 1.3300 -1.539000 1.880941
2670 1.3350 -1.537725 1.903715
2680 1.3400 -1.536255 1.929806
2690 1.3450 -1.534733 1.956585
2700 1.3500 -1.532833 1.989714
2710 1.3550 -1.530569 2.165637
2720 1.3600 -1.527986 2.209072
2730 1.3650 -1.525249 2.253993
2740 1.3700 -1.522395 2.299640
2750 1.3750 -1.519250 2.348525
2760 1.3800 -1.515840 2.399862
2770 1.3850 -1.512303 2.451222
2780 1.3900 -1.508649 2.502217
2790 1.3950 -1.504911 2.552131
2800 1.4000 -1.501147 2.599929
2810 1.4050 -1.497152 2.762928
2820 1.4100 -1.492852 2.809508
2830 1.4150 -1.488341 2.852918
2840 1.4200 -1.483678 2.891341
2850 1.4250 -1.479024 2.922512
2860 1.4300 -1.474441 2.945533
2870 1.4350 -1.469744 2.960570
2880 1.4400 -1.465032 2.966323
2890 1.4450 -1.460292 2.962145
2900 1.4500 -1.455631 2.947907
2910 1.4550 -1.450865 3.027102
2920 1.4600 -1.445946 2.988418
2930 1.4650 -1.441016 2.937483
2940 1.4700 -1.436127 2.875555
2950 1.4750 -1.431485 2.807019
2960 1.4800 -1.426681 2.727143
2970 1.4850 -1.421818 2.638287
2980 1.4900 -1.417050 2.544783
2990 1.4950 -1.412410 2.449146
3000 1.5000 -1.407706 2.348913
3010 1.5050 -1.403253 2.375720
3020 1.5100 -1.398817 2.277478
3030 1.5150 -1.394466 2.180716
3040 1.5200 -1.390141 2.085007
3050 1.5250 -1.386151 1.997815
3060 1.5300 -1.382298 1.915133
3070 1.5350 -1.378417 1.833726
3080 1.5400 -1.374389 1.751522
3090 1.5450 -1.370362 1.671891
3100 1.5500 -1.366383 1.595842
3110 1.5550 -1.362567 1.677916
3120 1.5600 -1.358756 1.608613
3130 1.5650 -1.354911 1.540168
3140 1.5700 -1.351086 1.473417
3150 1.5750 -1.347171 1.406405
3160 1.5800 -1.343136 1.338589
3170 1.5850 -1.338842 1.267690
3180 1.5900 -1.334507 1.197299
3190 1.5950 -1.330221 1.128803
3200 1.6000 -1.326058 1.063250
3210 1.6050 -1.322072 1.178418
3220 1.6100 -1.318333 1.119722
3230 1.6150 -1.314790 1.064043
3240 1.6200 -1.311279 1.008912
3250 1.6250 -1.307994 0.957487
3260 1.6300 -1.304824 0.908128
3270 1.6350 -1.301695 0.859790
3280 1.6400 -1.298764 0.814988
3290 1.6450 -1.296072 0.774313
3300 1.6500 -1.293515 0.736220
3310 1.6550 -1.291032 0.894077
3320 1.6600 -1.288538 0.857394
3330 1.6650 -1.286144 0.822395
3340 1.6700 -1.284052 0.792025
3350 1.6750 -1.282464 0.769148
3360 1.6800 -1.281087 0.749436
3370 1.6850 -1.279797 0.731095
3380 1.6900 -1.278608 0.714312
3390 1.6950 -1.277717 0.701814
3400 1.7000 -1.277015 0.692013
3410 1.7050 -1.276535 0.882290
3420 1.7100 -1.276364 0.879912
3430 1.7150 -1.276687 0.884406
3440 1.7200 -1.277174 0.891196
3450 1.7250 -1.277771 0.899503
3460 1.7300 -1.278455 0.909040
3470 1.7350 -1.279640 0.925565
3480 1.7400 -1.281029 0.944938
3490 1.7450 -1.282599 0.966826
3500 1.7500 -1.284440 0.992439
3510 1.7550 -1.286517 1.202215
3520 1.7600 -1.288758 1.232652
3530 1.7650 -1.291400 1.267841
3540 1.7700 -1.294194 1.304169
3550 1.7750 -1.297260 1.342901
3560 1.7800 -1.300577 1.383425
3570 1.7850 -1.304100 1.424862
3580 1.7900 -1.307901 1.467669
3590 1.7950 -1.311959 1.511269
3600 1.8000 -1.316291 1.555522
3610 1.8050 -1.320825 1.753674
3620 1.8100 -1.325464 1.794789
3630 1.8150 -1.330274 1.834474
3640 1.8200 -1.335199 1.872791
3650 1.8250 -1.340169 1.910030
3660 1.8300 -1.345079 1.946431
3670 1.8350 -1.349862 1.982542
3680 1.8400 -1.354784 2.021393
3690 1.8450 -1.359885 2.064524
3700 1.8500 -1.365258 2.114149
3710 1.8550 -1.370663 2.300870
3720 1.8600 -1.376273 2.361855
3730 1.8650 -1.381954 2.428624
3740 1.8700 -1.387752 2.501827
3750 1.8750 -1.393596 2.580106
3760 1.8800 -1.399261 2.659140
3770 1.8850 -1.405011 2.740910
3780 1.8900 -1.410665 2.820965
3790 1.8950 -1.416340 2.898769
3800 1.9000 -1.421765 2.968692
3810 1.9050 -1.426948 3.133227
3820 1.9100 -1.431872 3.182642
3830 1.9150 -1.436778 3.223019
3840 1.9200 -1.441313 3.251643
3850 1.9250 -1.445657 3.270699
3860 1.9300 -1.449685 3.280770
3870 1.9350 -1.453587 3.283447
3880 1.9400 -1.457354 3.279431
3890 1.9450 -1.461156 3.268914
3900 1.9500 -1.464772 3.253063
3910 1.9550 -1.468318 3.328221
3920 1.9600 -1.471960 3.300857
3930 1.9650 -1.475667 3.267428
3940 1.9700 -1.479064 3.232184
3950 1.9750 -1.482132 3.196846
3960 1.9800 -1.485009 3.160892
3970 1.9850 -1.487586 3.126547
3980 1.9900 -1.490035 3.092152
3990 1.9950 -1.492537 3.055389
4000 2.0000 -1.495023 3.017320
4010 2.0050 -1.497513 3.080473
4020 2.0100 -1.499746 3.043557
4030 2.0150 -1.501846 3.007767
4040 2.0200 -1.503852 2.972625
4050 2.0250 -1.505646 2.940468
4060 2.0300 -1.507404 2.908306
4070 2.0350 -1.508996 2.878647
4080 2.0400 -1.510474 2.850682
4090 2.0450 -1.511888 2.823539
4100 2.0500 -1.513278 2.796492
4110 2.0550 -1.514647 2.878869
4120 2.0600 -1.515987 2.852052
4130 2.0650 -1.517366 2.824071
4140 2.0700 -1.518618 2.798309
4150 2.0750 -1.519694 2.775925
4160 2.0800 -1.520788 2.752932
4170 2.0850 -1.521592 2.735886
4180 2.0900 -1.522106 2.724919
4190 2.0950 -1.522498 2.716530
4200 2.1000 -1.522787 2.710314
4210 2.1050 -1.523013 2.817482
4220 2.1100 -1.523290 2.811503
4230 2.1150 -1.523629 2.804157
4240 2.1200 -1.523927 2.797671
4250 2.1250 -1.523979 2.796553
4260 2.1300 -1.523999 2.796098
4270 2.1350 -1.523912 2.798011
4280 2.1400 -1.523648 2.803744
4290 2.1450 -1.523093 2.815752
4300 2.1500 -1.521993 2.839361
4310 2.1550 -1.520550 2.977887
4320 2.1600 -1.518847 3.013091
4330 2.1650 -1.517063 3.049084
4340 2.1700 -1.515170 3.086253
4350 2.1750 -1.513062 3.126373
4360 2.1800 -1.510649 3.170645
4370 2.1850 -1.507631 3.223464
4380 2.1900 -1.504497 3.275266
4390 2.1950 -1.501135 3.327243
4400 2.2000 -1.497646 3.377160
4410 2.2050 -1.493914 3.518577
4420 2.2100 -1.489925 3.564194
4430 2.2150 -1.485677 3.605537
4440 2.2200 -1.481144 3.641108
4450 2.2250 -1.476575 3.667710
4460 2.2300 -1.472055 3.684585
4470 2.2350 -1.467654 3.691767
4480 2.2400 -1.463200 3.689581
4490 2.2450 -1.458384 3.676452
4500 2.2500 -1.453426 3.651334
4510 2.2550 -1.448331 3.699236
4520 2.2600 -1.443154 3.647694
4530 2.2650 -1.437817 3.582125
4540 2.2700 -1.432431 3.504535
4550 2.2750 -1.426926 3.415138
4560 2.2800 -1.421260 3.314710
4570 2.2850 -1.415545 3.207281
4580 2.2900 -1.409592 3.091696
4590 2.2950 -1.403800 2.978349
4600 2.3000 -1.398019 2.866886
4610 2.3050 -1.392336 2.867564
4620 2.3100 -1.386717 2.766053
4630 2.3150 -1.381216 2.671517
4640 2.3200 -1.375947 2.586109
4650 2.3250 -1.370913 2.509395
4660 2.3300 -1.365932 2.438108
4670 2.3350 -1.360951 2.371080
4680 2.3400 -1.355755 2.305069
4690 2.3450 -1.350527 2.241850
4700 2.3500 -1.345333 2.181264
4710 2.3550 -1.340132 2.250916
4720 2.3600 -1.334925 2.189308
4730 2.3650 -1.329716 2.125401
4740 2.3700 -1.324620 2.059884
4750 2.3750 -1.319839 1.995196
4760 2.3800 -1.315365 1.931485
4770 2.3850 -1.310884 1.864444
4780 2.3900 -1.306457 1.795004
4790 2.3950 -1.302258 1.726252
4800 2.4000 -1.298331 1.659559
4810 2.4050 -1.294646 1.744928
4820 2.4100 -1.291405 1.685787
4830 2.4150 -1.288381 1.629047
4840 2.4200 -1.285548 1.574699
4850 2.4250 -1.282874 1.522441
4860 2.4300 -1.280314 1.471713
4870 2.4350 -1.277821 1.421759
4880 2.4400 -1.275607 1.377029
4890 2.4450 -1.273730 1.338928
4900 2.4500 -1.272068 1.305079
4910 2.4550 -1.270546 1.439918
4920 2.4600 -1.269220 1.412681
4930 2.4650 -1.267960 1.386688
4940 2.4700 -1.266904 1.364857
4950 2.4750 -1.265943 1.344932
4960 2.4800 -1.265148 1.328434
4970 2.4850 -1.264500 1.314990
4980 2.4900 -1.263977 1.304116
4990 2.4950 -1.263495 1.294089
5000 2.5000 -1.262988 1.283551
5010 2.5050 -1.262552 1.441423
5020 2.5100 -1.262162 1.433291
5030 2.5150 -1.261745 1.424599
5040 2.5200 -1.261202 1.413259
5050 2.5250 -1.260705 1.402857
5060 2.5300 -1.260601 1.400678
5070 2.5350 -1.260379 1.396038
5080 2.5400 -1.260111 1.390426
5090 2.5450 -1.260151 1.391250
5100 2.5500 -1.260327 1.394935
5110 2.5550 -1.260611 1.562709
5120 2.5600 -1.261339 1.577917
5130 2.5650 -1.262264 1.597123
