# step cv h sig
0 -1.462384 0.239006 0.0500
100 -1.468416 0.223666 0.0500
200 -1.468676 0.210118 0.0500
300 -1.468667 0.198130 0.0500
400 -1.461606 0.187678 0.0500
500 -1.450740 0.180269 0.0500
600 -1.438421 0.176555 0.0500
700 -1.428141 0.174250 0.0500
800 -1.423922 0.168886 0.0500
900 -1.418666 0.164976 0.0500
1000 -1.415687 0.159836 0.0500
1100 -1.417602 0.151427 0.0500
1200 -1.420158 0.143442 0.0500
1300 -1.419724 0.138073 0.0500
1400 -1.423522 0.130733 0.0500
1500 -1.422446 0.126584 0.0500
1600 -1.413272 0.127865 0.0500
1700 -1.394775 0.140473 0.0500
1800 -1.370176 0.165745 0.0500
1900 -1.347779 0.186882 0.0500
2000 -1.338288 0.187956 0.0500
2100 -1.339628 0.176964 0.0500
2200 -1.350744 0.157503 0.0500
2300 -1.371571 0.132061 0.0500
2400 -1.392614 0.112631 0.0500
2500 -1.404843 0.103503 0.0500
2600 -1.412091 0.098451 0.0500
2700 -1.415200 0.095191 0.0500
2800 -1.412055 0.093275 0.0500
2900 -1.401317 0.094259 0.0500
3000 -1.384023 0.101561 0.0500
3100 -1.356611 0.123500 0.0500
3200 -1.328673 0.152231 0.0500
3300 -1.303118 0.177355 0.0500
3400 -1.282903 0.191099 0.0500
3500 -1.277645 0.186259 0.0500
3600 -1.294912 0.160995 0.0500
3700 -1.322524 0.130930 0.0500
3800 -1.362008 0.099778 0.0500
3900 -1.400141 0.082173 0.0500
4000 -1.432009 0.082765 0.0500
4100 -1.461534 0.100298 0.0500
4200 -1.495244 0.140431 0.0500
4300 -1.530233 0.186684 0.0500
4400 -1.545309 0.194959 0.0500
4500 -1.532112 0.170358 0.0500
4600 -1.504529 0.131302 0.0500
4700 -1.477024 0.099237 0.0500
4800 -1.454289 0.081215 0.0500
4900 -1.432695 0.072458 0.0500
5000 -1.405889 0.072274 0.0500
5100 -1.381988 0.079727 0.0500
5200 -1.355673 0.093924 0.0500
5300 -1.333074 0.108649 0.0500
5400 -1.313548 0.122369 0.0500
5500 -1.308242 0.123161 0.0500
