# step t_ps cv bias_e
0 0.0000 -1.455586 0.000000
10 0.0050 -1.455035 0.716974
20 0.0100 -1.454911 0.716953
30 0.0150 -1.455186 0.716995
40 0.0200 -1.455712 0.717016
50 0.0250 -1.456640 0.716859
60 0.0300 -1.458037 0.716157
70 0.0350 -1.459853 0.714411
80 0.0400 -1.461882 0.711355
90 0.0450 -1.464292 0.706229
100 0.0500 -1.466862 0.699014
110 0.0550 -1.469838 0.688472
120 0.0600 -1.473170 0.674017
130 0.0650 -1.476607 0.656366
140 0.0700 -1.480332 0.634361
150 0.0750 -1.484211 0.608637
160 0.0800 -1.488154 0.579961
170 0.0850 -1.491976 0.550184
180 0.0900 -1.495554 0.520925
190 0.0950 -1.498770 0.493799
200 0.1000 -1.501484 0.470484
210 0.1050 -1.503507 1.152290
220 0.1100 -1.504939 1.138750
230 0.1150 -1.505682 1.131494
240 0.1200 -1.505876 1.129579
250 0.1250 -1.505458 1.133703
260 0.1300 -1.504192 1.145889
270 0.1350 -1.502359 1.162718
280 0.1400 -1.500085 1.182171
290 0.1450 -1.497357 1.203318
300 0.1500 -1.494152 1.224940
310 0.1550 -1.490607 1.244578
320 0.1600 -1.486949 1.259911
330 0.1650 -1.483054 1.270520
340 0.1700 -1.479291 1.275040
350 0.1750 -1.475660 1.274005
360 0.1800 -1.472100 1.267854
370 0.1850 -1.468650 1.257108
380 0.1900 -1.465455 1.243049
390 0.1950 -1.462452 1.226354
400 0.2000 -1.459839 1.209191
410 0.2050 -1.457480 1.864773
420 0.2100 -1.455546 1.847308
430 0.2150 -1.453895 1.830680
440 0.2200 -1.452628 1.816862
450 0.2250 -1.451726 1.806486
460 0.2300 -1.451060 1.798536
470 0.2350 -1.450764 1.794931
480 0.2400 -1.450746 1.794707
490 0.2450 -1.450889 1.796458
500 0.2500 -1.451463 1.803375
510 0.2550 -1.452461 1.814983
520 0.2600 -1.453753 1.829181
530 0.2650 -1.455515 1.847015
540 0.2700 -1.457617 1.865927
550 0.2750 -1.460076 1.884691
560 0.2800 -1.462869 1.901487
