# step cv h sig
0 -1.490414 1.195030 0.0500
200 -1.435878 1.175174 0.0500
400 -1.457126 1.134904 0.0500
600 -1.407062 1.136364 0.0500
800 -1.476439 1.093814 0.0500
1000 -1.408570 1.090411 0.0500
1200 -1.371014 1.117185 0.0500
1400 -1.413703 1.033954 0.0500
1600 -1.344269 1.115378 0.0500
1800 -1.376659 1.032106 0.0500
2000 -1.275342 1.169766 0.0500
2200 -1.334222 1.065103 0.0500
2400 -1.265650 1.131381 0.0500
2600 -1.295915 1.067777 0.0500
2800 -1.222498 1.136297 0.0500
3000 -1.247476 1.072761 0.0500
3200 -1.258146 1.033146 0.0500
3400 -1.182869 1.129227 0.0500
3600 -1.223352 1.032854 0.0500
3800 -1.169469 1.101678 0.0500
4000 -1.242408 0.975774 0.0500
4200 -1.242917 0.951625 0.0500
4400 -1.162022 1.069923 0.0500
4600 -1.231121 0.927727 0.0500
4800 -1.249205 0.901208 0.0500
5000 -1.228024 0.889652 0.0500
5200 -1.299317 0.925670 0.0500
5400 -1.287293 0.885423 0.0500
5600 -1.338801 0.939196 0.0500
5800 -1.332910 0.911419 0.0500
6000 -1.389996 0.933020 0.0500
6200 -1.390151 0.911253 0.0500
6400 -1.465886 0.997575 0.0500
6600 -1.490135 1.025214 0.0500
6800 -1.516435 1.061360 0.0500
7000 -1.534880 1.076511 0.0500
7200 -1.557904 1.097698 0.0500
7400 -1.581398 1.112121 0.0500
7600 -1.609745 1.126743 0.0500
7800 -1.651923 1.150314 0.0500
8000 -1.655073 1.120543 0.0500
8200 -1.676893 1.113975 0.0500
8400 -1.680942 1.087788 0.0500
8600 -1.681736 1.059095 0.0500
8800 -1.666131 1.016785 0.0500
9000 -1.674148 0.997171 0.0500
9200 -1.685737 0.986880 0.0500
9400 -1.675476 0.949912 0.0500
9600 -1.652566 0.924708 0.0500
9800 -1.594249 0.983411 0.0500
10000 -1.602006 0.949727 0.0500
10200 -1.578491 0.952530 0.0500
10400 -1.547510 0.946658 0.0500
10600 -1.518424 0.926077 0.0500
10800 -1.500347 0.902497 0.0500
