# step cv h sig
0 2.007862 0.239006 0.0500
100 2.017064 0.223809 0.0500
200 2.038930 0.213692 0.0500
300 1.915887 0.233508 0.0500
400 1.641278 0.239006 0.0500
500 1.394189 0.239006 0.0500
600 1.125909 0.239006 0.0500
700 0.774192 0.239006 0.0500
800 0.732456 0.227996 0.0500
900 0.796650 0.218793 0.0500
1000 0.858383 0.227940 0.0500
1100 0.915319 0.230022 0.0500
1200 0.857491 0.206681 0.0500
1300 0.652654 0.233733 0.0500
1400 0.313590 0.239006 0.0500
1500 -0.018631 0.239006 0.0500
1600 -0.214175 0.238998 0.0500
1700 -0.320784 0.237367 0.0500
1800 -0.407754 0.235529 0.0500
1900 -0.416585 0.221641 0.0500
2000 -0.385013 0.207904 0.0500
2100 -0.353037 0.202350 0.0500
2200 -0.327933 0.199206 0.0500
2300 -0.270869 0.210737 0.0500
2400 -0.183170 0.222709 0.0500
2500 -0.083102 0.229702 0.0500
2600 -0.039649 0.214892 0.0500
2700 0.017977 0.218354 0.0500
2800 0.078369 0.228794 0.0500
2900 0.104535 0.222038 0.0500
3000 0.078045 0.203261 0.0500
3100 0.052788 0.190480 0.0500
3200 0.081610 0.184090 0.0500
3300 0.078609 0.174183 0.0500
3400 0.057762 0.165052 0.0500
3500 0.049589 0.158830 0.0500
3600 0.057466 0.150874 0.0500
3700 0.062243 0.144511 0.0500
3800 0.065399 0.138941 0.0500
3900 0.068064 0.133933 0.0500
4000 0.071703 0.129644 0.0500
4100 0.074284 0.125652 0.0500
4200 0.075819 0.121750 0.0500
4300 0.076956 0.118025 0.0500
4400 0.075948 0.113893 0.0500
4500 0.077683 0.110845 0.0500
4600 0.082059 0.109106 0.0500
4700 0.081882 0.105754 0.0500
4800 0.084298 0.103740 0.0500
4900 0.089066 0.103316 0.0500
5000 0.087241 0.099355 0.0500
5100 0.087192 0.096608 0.0500
5200 0.098797 0.101880 0.0500
5300 0.106664 0.106419 0.0500
5400 0.102037 0.098876 0.0500
5500 0.100287 0.094712 0.0500
5600 0.104941 0.096244 0.0500
5700 0.092673 0.084845 0.0500
5800 0.071231 0.078400 0.0500
5900 0.057262 0.080753 0.0500
6000 0.044117 0.087324 0.0500
6100 0.015903 0.115147 0.0500
6200 -0.006523 0.139875 0.0500
6300 -0.012859 0.141989 0.0500
6400 -0.022829 0.147304 0.0500
6500 -0.032438 0.150879 0.0500
6600 -0.033364 0.145505 0.0500
6700 -0.031406 0.137966 0.0500
6800 -0.048056 0.147305 0.0500
6900 -0.069207 0.160524 0.0500
7000 -0.087932 0.170688 0.0500
7100 -0.118064 0.187298 0.0500
7200 -0.158680 0.196272 0.0500
7300 -0.182964 0.190326 0.0500
7400 -0.192678 0.182046 0.0500
7500 -0.202732 0.175016 0.0500
7600 -0.203029 0.166724 0.0500
7700 -0.185276 0.157173 0.0500
7800 -0.172651 0.151179 0.0500
7900 -0.179484 0.144376 0.0500
8000 -0.183229 0.138634 0.0500
8100 -0.182630 0.133355 0.0500
